"year","price","mileage","distance","engine","color","id","startRecord","endRecord"
2007,15988,58179,83,"2.0T",NA,233,2404,2412
2007,15975,56724,28,"2.0T","Sebring Silver Metallic",234,2413,2422
2008,15900,69188,24,"2.0T","Black",235,2423,2431
2010,15875,88019,361,"2.0T","Ibis White",236,2432,2441
2009,15403,103631,353,"2.0T","White",237,2442,2451
2009,15400,94878,363,"2.0T","Red",238,2452,2461
2006,15388,34589,15,"2.0T",NA,239,2462,2471
2007,15000,54412,353,"2.0T",NA,240,2472,2481
2008,14998,61697,27,"2.0T","Black",241,2482,2491
2008,14996,65165,29,"2.0T","Deep Sea Blue Pearl",242,2492,2501
2008,14996,106215,29,"2.0T","Brilliant Black",243,2502,2511
2008,14995,77709,344,"2.0T","Blue",244,2512,2520
2010,14991,107507,454,"2.0T","Gray",246,2531,2540
2009,14500,113427,26,"2.0T","Black",247,2541,2550
2009,13999,109207,31,"2.0T","Black",248,2551,2560
2008,13995,68844,489,"2.0T","Blue",249,2561,2570
2005,13975,53205,28,"2.0T","Liquid Blue Metallic",250,2571,2581
2008,13950,80663,346,"2.0T","Black",251,2582,2591
2007,13895,104309,29,"2.0T","Black",252,2592,2602
2008,13694,92980,26,"2.0T","Deep Sea Blue Pearl",253,2603,2612
2008,13649,88162,26,"2.0T","Brilliant Black",254,2613,2622
2008,13499,113495,16,"2.0T","Gray",255,2623,2632
2009,12999,114371,31,"2.0T","Black",256,2633,2642
2008,12999,114585,40,"2.0T","White",257,2643,2652
2007,12997,69497,26,"2.0T","Black",258,2653,2662
2008,12990,93704,302,"2.0T","Gray",259,2663,2671
2006,12975,81180,28,"2.0T","Arctic White",260,2672,2681
2008,12940,103703,33,"2.0T","Brilliant Black",261,2682,2691
2006,12900,96077,40,"2.0T","Sebring Silver Metallic",262,2692,2701
2005,12000,65350,3,"2.0T","Gray",263,2702,2711
2007,12000,69500,43,"2.0T","Silver",264,2712,2721
2007,11998,92890,19,"2.0T","Black",265,2722,2730
2008,11995,108963,24,"2.0T","Silver",266,2731,2740
2008,11994,111192,26,"2.0T","Phantom Black Pearl",267,2741,2750
2007,11990,99725,25,"2.0T","Brilliant Red",268,2751,2760
2007,11988,100948,25,"2.0T","Gold",269,2761,2770
2007,11980,75301,380,"2.0T","Quartz Gray Metallic",270,2771,2780
2005,11975,100370,28,"1.8T","Gray",271,2781,2790
2008,11974,101489,356,"2.0T","Sebring Silver Metallic",272,2791,2800
2008,11700,87000,34,"2.0T","Black",273,2801,2810
2008,11658,83651,14,"2.0T","Sebring Silver Metallic",274,2811,2820
2007,11553,91779,32,"2.0T","Dolphin Gray Metallic",275,2821,2830
2006,11500,72740,364,"2.0T","White",276,2831,2840
2006,11500,91309,353,"2.0T","White",277,2841,2850
2007,11500,98544,353,"2.0T","Gray",278,2851,2859
2006,11495,78704,353,"1.8T","Silver",279,2860,2869
2006,11488,98103,9,"1.8T","Gray",280,2870,2879
2007,11399,70130,20,"2.0T","Silver",281,2880,2889
2007,11287,84324,25,"2.0T","Silver",282,2890,2899
2007,10999,92696,33,"2.0T","Blue",283,2900,2909
2007,10995,98423,353,"2.0T","Gray",284,2910,2919
2007,10991,87179,25,"2.0T","Gray",285,2920,2929
2006,10990,108225,25,"2.0T","Sebring Silver Metallic",286,2930,2939
2006,10988,88552,15,"2.0T","Arctic White",287,2940,2949
2006,10988,113257,25,"2.0T","Blue",288,2950,2958
2003,10975,62129,28,"1.8T","Sebring Silver Metallic",289,2959,2968
2007,10901,126547,83,"2.0T","Brilliant Black",290,2969,2978
2006,10899,96486,29,"2.0T","Black",291,2979,2988
2006,10800,114112,352,"2.0T","Red",292,2989,2998
2008,10795,73300,24,"2.0T","Silver",293,2999,3008
2007,10500,92693,454,"2.0T","Brilliant Black",294,3009,3018
2007,10500,124430,353,"2.0T","White",295,3019,3028
2005,10495,97471,489,"1.8T","Light Silver",296,3029,3038
2006,10000,83360,24,"2.0T","Champagne Mist",297,3039,3048
2003,9999,78000,16,"1.8T","Green",298,3049,3058
2005,9999,99200,26,"1.8T","Black",299,3059,3068
2005,9999,126916,27,"2.0T","Black",300,3069,3078
2003,9999,153870,353,"1.8T","Blue",301,3079,3088
2005,9995,83181,24,"1.8T","Silver",302,3089,3097
2006,9995,93877,426,NA,"Silver",303,3098,3107
2008,9995,105400,363,"2.0T","White",304,3108,3117
2005,9994,93882,353,"2.0T","Red",305,3118,3127
2007,9988,109768,13,"2.0T","Silver",306,3128,3137
2006,9988,119338,25,"2.0T","Gray",307,3138,3147
2006,9822,126007,433,"2.0T",NA,308,3148,3156
2007,9788,132382,40,"2.0T","Beige",309,3157,3165
2006,9298,119452,14,"2.0T","Silver",310,3166,3175
2008,9086,195852,33,"NEWLY","Brilliant Black",311,3176,3185
2005,8995,126032,18,"1.8T","Black",312,3186,3195
2005,8995,137435,14,"1.8T","Blue",313,3196,3205
2004,8995,148216,346,"1.8T","Burgundy",314,3206,3215
2006,8991,109858,352,"2.0T","Light Silver Metallic",315,3216,3225
2006,8990,136897,363,"2.0T","Gray",316,3226,3235
2006,8750,111501,18,"2.0T",NA,317,3236,3245
2002,8408,127115,461,"1.8T","Sebring Silver Metallic",318,3246,3254
2007,8295,145152,363,"2.0T","Brilliant Black",319,3255,3264
2004,8000,118552,453,"1.8T","Silver",320,3265,3274
2007,8000,121000,43,"2.0T","Black",321,3275,3284
2005,7999,119555,451,"2.0T","Blue",322,3285,3294
2004,7995,94058,25,"1.8T","Ocean Blue Pearl",323,3295,3303
2000,7995,133218,34,"1.8T","Casablanca White",324,3304,3313
2004,7995,134439,22,"1.8T","Gray",325,3314,3323
2006,7988,103037,14,"2.0T","Blue",326,3324,3333
2003,7988,123858,25,"1.8T","White",327,3334,3343
2001,7950,101875,75,"1.8T","Pelican Blue Metallic",328,3344,3353
2004,7896,112543,29,"1.8T","Sebring Silver Metallic",329,3354,3363
2003,7490,112027,29,"1.8T",NA,330,3364,3373
2003,7215,143140,461,"1.8T","Polar White",331,3374,3383
2006,7200,95000,29,"2.0T","Black",332,3384,3393
2005,7100,115155,33,"1.8T","Light Silver Metallic",333,3394,3403
2003,6995,116416,501,"1.8T","Black Cherry",334,3404,3413
2003,6995,137302,14,"1.8T","Silver",335,3414,3423
2005,6990,115260,302,"1.8T","Silver",336,3424,3433
2004,6988,145925,25,"1.8T","White",337,3434,3443
2001,6950,124800,75,"1.8T","Brilliant Black Clearcoat",338,3444,3453
2003,6950,143000,75,"1.8T","Denim Blue Pearl",339,3454,3463
2002,6900,94000,23,"1.8T","Blue",340,3464,3473
2004,6795,130183,24,"1.8T","Blue",341,3474,3483
2003,6575,132480,425,"1.8T","Red",342,3484,3493
2002,6500,121000,476,"1.8T","Blue",343,3494,3503
1999,6499,129048,16,"1.8T","Silver",344,3504,3513
2004,6499,135527,16,"1.8T","Silver",345,3514,3523
2003,6200,101000,29,"1.8T","Blue",346,3524,3533
2003,6129,146780,19,"1.8T","Ming Blue Pearl",347,3534,3543
2003,5999,80309,458,"1.8T","Blue",348,3544,3553
2001,5999,99000,5,"1.8T","Red",349,3554,3563
2002,5996,157366,29,"1.8T","Ming Blue Pearl",350,3564,3573
2006,5880,123315,352,"2.0T","Gray",351,3574,3583
2002,5800,114906,353,"1.8T","Silver",352,3584,3593
2004,5790,163024,478,"1.8T","Dolphin Gray Metallic",353,3594,3603
2005,5783,130459,355,"1.8T","Sebring Silver Metallic",354,3604,3613
2003,5400,102660,352,"1.8T","Denim Blue Pearl",355,3614,3623
1999,4996,124027,373,"1.8T","Green",356,3624,3633
2003,4995,138423,29,"1.8T","Silver",357,3634,3643
1999,4991,107454,14,"NEWLY","Blue",358,3644,3653
2003,4988,156371,25,"1.8T","Silver",359,3654,3663
2003,4850,148308,43,"1.8T","Dark Gray",360,3664,3673
2001,4629,148676,354,"1.8T","Tan",361,3674,3683
2004,3999,147771,352,"3.0","Black",362,3684,3692
2001,3995,165778,25,"1.8T","Santorin Blue Pearl",363,3693,3702
2000,1650,180515,352,"1.8T","Silver",365,3713,3722
