Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num,,,,
20157,APPM,2360,160,OL,,"LI, CONGMING",91,40,97%,4.3,1.4,3.8,1.8,10-12,4.1,3.7,4.1,4.9,4.6,5.6,INTRO DIFF EQ W/LIN ALG,,,,,,,BD,AS,NS,LD,APPM,TTT,1,,,,
20157,APPM,3010,001,OL,,"RESTREPO, JUAN",18,9,100%,5.6,0.5,5.7,0.5,7-9,5.0,5.4,5.8,5.1,5.4,6.0,INTRO/NONLINEAR SYSTEM:,,,,,,,BD,AS,NS,UD,APPM,TTT,1,,,,
20157,APPM,3570,001,,,"KLEIBER, W PAUL",52,39,100%,4.8,1.1,5.3,0.8,7-9,3.7,5.0,5.4,5.1,5.1,5.9,APPLIED PROBABILITY,,,,,,,BD,AS,NS,UD,APPM,TTT,1,,,,
20157,APPM,4350,001,,,"SEGUR, HARVEY",40,31,100%,5.3,1.1,5.8,0.5,10-12,4.6,5.3,5.8,5.3,5.3,5.9,FOURIER SER/BOUNDARY VAL,,,,,,,BD,AS,NS,UD,APPM,TTT,1,,,,
20157,APPM,4350,002,,,"SEGUR, HARVEY",31,14,100%,4.6,0.9,5.4,0.6,10-12,4.3,5.2,5.4,5.5,5.1,5.9,FOURIER SER/BOUNDARY VAL,,,,,,,BD,AS,NS,UD,APPM,TTT,1,,,,
20157,APPM,4350,003,OL,,"HOEFER, MARK",35,13,100%,4.8,1.2,5.7,0.5,10-12,4.8,5.7,5.2,5.6,5.2,5.9,FOURIER SER/BOUNDARY VAL,,,,,,,BD,AS,NS,UD,APPM,TTT,1,,,,
20157,APPM,4380,001,OL,,"FORNBERG, BENGT",11,6,100%,4.8,1.2,5.0,1.3,7-9,4.8,5.2,5.7,4.0,4.5,6.0,MODELING IN APPLIED MATH,,,,,,,BD,AS,NS,UD,APPM,TTT,1,,,,
20157,APPM,4440,001,OL,,"MEISS, JAMES",39,20,100%,4.9,1.0,4.9,0.9,10-12,3.6,4.5,5.3,5.5,5.1,5.9,UGRAD APPLIED ANALYSIS 1,,,,,,,BD,AS,NS,UD,APPM,TTT,1,,,,
20157,APPM,4520,001,OL,,"CORCORAN, JEM",69,43,100%,5.4,0.9,5.8,0.4,7-9,4.6,5.7,5.7,4.5,5.2,6.0,INTRO-MATHEMATICAL STATI,,,,,,,BD,AS,NS,UD,APPM,TTT,1,,,,
20157,APPM,4560,001,OL,,"LLADSER, MANUEL",41,26,100%,5.3,1.0,5.6,0.6,10-12,5.2,5.7,5.0,5.3,5.4,5.9,MARKOV PROCESSES,,,,,,,BD,AS,NS,UD,APPM,TTT,1,,,,
20157,APPM,5440,001,OL,,"CORCORAN, JEM",25,19,100%,4.6,1.3,4.8,1.4,7-9,4.4,4.9,5.4,4.7,4.7,5.8,APPLIED ANALYSIS 1,,,,,,,BD,AS,NS,GR,APPM,TTT,1,,,,
20157,APPM,5470,001,OL,,"LI, CONGMING",11,8,100%,4.8,0.9,4.8,0.9,7-9,4.4,4.5,5.1,5.4,4.8,5.9,MTHDS APPM: PART DIFF/IN,,,,,,,BD,AS,NS,GR,APPM,TTT,1,,,,
20157,APPM,5600,001,OL,,"FORNBERG, BENGT",29,17,100%,4.3,1.8,4.9,1.3,10-12,4.6,4.6,5.2,5.4,4.6,5.9,NUMERICAL ANALYSIS 1,,,,,,,BD,AS,NS,GR,APPM,TTT,1,,,,
20157,APPM,7100,001,OL,,"MEISS, JAMES",8,6,100%,5.5,0.5,5.8,0.4,13-15,5.5,5.7,5.7,6.0,5.2,6.0,DYNAMICAL SYSTEMS,,,,,,,BD,AS,NS,GR,APPM,TTT,1,,,,
20157,APPM,7400,002,OL,,"BEYLKIN, GREGORY",7,3,100%,5.0,1.0,5.3,1.2,4-6,6.0,5.3,6.0,5.7,4.3,6.0,OPEN TPCS: APPLIED MATHE,,,,,,,BD,AS,NS,GR,APPM,TTT,1,,,,
20157,APPM,7400,004,OL,,"CORCORAN, JEM",11,6,100%,5.0,1.3,5.3,0.8,4-6,5.0,5.2,5.5,4.8,5.0,6.0,OPEN TPCS: APPLIED MATHE,,,,,,,BD,AS,NS,GR,APPM,TTT,1,,,,
20157,APPM,7400,005,OL,,"MANTEUFFEL, THOMAS",12,4,100%,6.0,0.0,6.0,0.0,4-6,6.0,6.0,6.0,6.0,6.0,6.0,OPEN TPCS: APPLIED MATHE,,,,,,,BD,AS,NS,GR,APPM,TTT,1,,,,
20157,APPM,7400,007,OL,,"BORTZ, DAVID",6,3,100%,5.0,1.0,5.0,1.0,0-3,5.0,5.3,5.5,5.5,5.0,6.0,OPEN TPCS: APPLIED MATHE,,,,,,,BD,AS,NS,GR,APPM,TTT,1,,,,
20157,APPM,8000,001,OL,,"LI, CONGMING",4,2,100%,6.0,0.0,6.0,0.0,0-3,6.0,6.0,6.0,6.0,6.0,6.0,COLLOQUIUM/APPLIED MATHE,,,,,,,BD,AS,NS,GR,APPM,TTT,1,,,,
20157,APPM,8100,001,OL,,"RESTREPO, JUAN",2,0,,,,,,,,,,,,,SEM-DYNAMICAL SYSTEMS,,,,,,,BD,AS,NS,GR,APPM,TTT,1,,,,
20157,APPM,8600,001,OL,,"MANTEUFFEL, THOMAS",6,0,,,,,,,,,,,,,SEM: COMPUTATIONAL MATHE,,,,,,,BD,AS,NS,GR,APPM,TTT,1,,,,
20157,APRD,1000,001,OL,,"GANGADHARBATLA, H",375,146,100%,4.9,1.0,5.2,1.0,4-6,4.8,5.1,5.1,3.8,4.6,5.8,IDEA INDUSTRIES,,,,,,,BD,MC,,LD,CMCI,TTT,1,,,,
20157,APRD,1002,001,,,"LOGAN, KELTY",36,31,97%,5.0,1.0,5.1,1.1,4-6,5.1,5.3,5.1,4.5,5.1,5.2,INTROD TO BRANDING STRAT,,,,,,,BD,MC,,LD,CMCI,TTT,1,,,,
20157,APRD,1002,002,OL,,"SCHAUSTER, ERIN",38,25,100%,5.3,0.9,5.7,0.9,4-6,4.8,5.6,5.7,4.4,5.2,5.8,INTROD TO BRANDING STRAT,,,,,,,BD,MC,,LD,CMCI,TTT,1,,,,
20157,APRD,3003,001,,,"LOGAN, KELTY",29,24,100%,5.3,0.7,5.4,0.7,4-6,4.8,5.3,5.3,4.6,5.3,5.8,RSCH MTHDS CREATIVE STRG,,,,,,,BD,MC,,UD,CMCI,TTT,1,,,,
20157,APRD,3102,001,OL,,"SLAYDEN, DAVID",12,7,100%,5.1,0.9,5.9,0.4,7-9,4.0,5.4,5.6,4.7,5.0,5.9,WRITING FOR DIGITAL MEDI,,,,,,,BD,MC,,UD,CMCI,TTT,1,,,,
20157,APRD,4873,001,OL,,"SLAYDEN, DAVID",22,14,100%,5.1,1.1,5.4,1.4,4-6,4.6,5.4,5.6,4.2,4.9,6.0,SPECIAL TOPICS,,,,,,,BD,MC,,UD,CMCI,TTT,1,,,,
20157,APRD,4873,002,OL,,"WILLIS, ERIN",3,2,100%,6.0,0.0,6.0,0.0,4-6,5.0,6.0,6.0,3.5,5.5,6.0,SPECIAL TOPICS,,,,,,,BD,MC,,UD,CMCI,TTT,1,,,,
20157,ARAB,1011,001,,,"ADIL, SABAHAT",59,41,100%,4.7,1.3,5.2,1.1,7-9,4.1,4.7,5.6,3.9,4.9,5.9,INTRO ARAB/ISLAM CIVILIZ,,,,,,,BD,AS,AH,LD,EALL,TTT,1,,,,
20157,ARAB,3230,001,,,"ADIL, SABAHAT",24,17,100%,5.4,0.7,5.8,0.6,7-9,4.4,5.5,5.9,4.2,5.5,6.0,ISLAMIC CULTURE & IBERIA,,,,,,,BD,AS,AH,UD,EALL,TTT,1,,,,
20157,ARAB,3330,001,OL,,"BAHOORA, HAYTHAM",7,3,100%,5.7,0.6,6.0,0.0,4-6,5.3,6.0,6.0,5.3,5.7,6.0,THE ARABIC NOVEL,,,,,,,BD,AS,AH,UD,EALL,TTT,1,,,,
20157,ARAB,3340,001,,,"BAHOORA, HAYTHAM",12,9,100%,5.8,0.4,6.0,0.0,7-9,4.7,5.9,5.8,5.4,5.8,6.0,REPRESENTING ISLAM,,,,,,,BD,AS,AH,UD,EALL,TTT,1,,,,
20157,AREN,2110,001,,,"HERNANDEZ, MARK",73,65,100%,4.7,1.2,4.5,1.5,7-9,3.6,4.9,4.6,4.3,4.8,5.6,THERMODYNAMICS,,,,,,,BD,EN,,LD,CVEN,TTT,1,,,,
20157,AREN,3010,001,OL,,"ZHAI, ZHIQIANG JOHN",24,17,100%,2.8,1.2,2.9,1.4,10-12,2.8,2.6,3.5,5.4,3.3,5.4,MECH SYSTEMS FOR BLDG,,,,,,,BD,EN,,UD,CVEN,TTT,1,,,,
