"Player","Season","Games_Missed_Frequency_Career"
"Evan Mobley","2021-22",NA
"Evan Mobley","2022-23",0.158536585365854
"Evan Turner","2014-15",0.00638977635782748
"Evan Turner","2015-16",0.00506329113924051
"Evan Turner","2016-17",0.00628930817610063
"Evan Turner","2017-18",0.035778175313059
"Francisco Garcia","2013-14",0.0970266040688576
"Frank Kaminsky","2015-16",NA
"Frank Ntilikina","2019-20",0.231707317073171
"Franz Wagner","2021-22",NA
"Franz Wagner","2022-23",0.024390243902439
"Fred VanVleet","2019-20",0.0975609756097561
"Fred VanVleet","2020-21",0.125786163522013
"Fred VanVleet","2021-22",0.151282051282051
"Fred VanVleet","2022-23",0.158898305084746
"Gabe Vincent","2022-23",0.0994764397905759
"Garrett Temple","2015-16",0.136792452830189
"Garrett Temple","2019-20",0.114814814814815
"Garrison Mathews","2021-22",0.0902777777777778
"Gary Harris","2015-16",0.0487804878048781
"Gary Harris","2016-17",0.0609756097560976
"Gary Harris","2017-18",0.121951219512195
"Gary Harris","2018-19",0.13719512195122
"Gary Harris","2019-20",0.170731707317073
"Gary Harris","2020-21",0.163561076604555
"Gary Harris","2022-23",0.183673469387755
"Gary Payton II","2022-23",0.14218009478673
"Gary Trent Jr.","2020-21",0.378205128205128
"Gary Trent Jr.","2021-22",0.302631578947368
"George Hill","2013-14",0.0763358778625954
"George Hill","2014-15",0.0757894736842105
"George Hill","2015-16",0.0843806104129264
"Gerald Green","2013-14",0
"Gerald Henderson","2013-14",0
"Gerald Henderson","2014-15",0
"Giannis Antetokounmpo","2014-15",0
"Giannis Antetokounmpo","2015-16",0.00609756097560976
"Giannis Antetokounmpo","2016-17",0.00813008130081301
"Giannis Antetokounmpo","2017-18",0.00917431192660551
"Giannis Antetokounmpo","2018-19",0.0244498777506112
"Giannis Antetokounmpo","2019-20",0.0386965376782077
"Giannis Antetokounmpo","2020-21",0.0478723404255319
"Giannis Antetokounmpo","2021-22",0.0581761006289308
"Giannis Antetokounmpo","2022-23",0.0710306406685237
"Glenn Robinson","2019-20",0
"Goran Dragic","2013-14",0.0307692307692308
"Goran Dragic","2015-16",0.0377697841726619
"Goran Dragic","2016-17",0.04858934169279
"Goran Dragic","2017-18",0.0555555555555556
"Gordon Hayward","2013-14",0.0565217391304348
"Gordon Hayward","2014-15",0.0576923076923077
"Gordon Hayward","2015-16",0.0583756345177665
"Gordon Hayward","2016-17",0.0525210084033613
"Gordon Hayward","2019-20",0.162049861495845
"Gordon Hayward","2020-21",0.171284634760705
"Gordon Hayward","2021-22",0.188221709006928
"Gordon Hayward","2022-23",0.205696202531646
"Gorgui Dieng","2014-15",0.0365853658536585
"Gorgui Dieng","2015-16",0.0670731707317073
"Gorgui Dieng","2016-17",0.0447154471544715
"Grayson Allen","2020-21",0.225806451612903
"Grayson Allen","2021-22",0.224669603524229
"Grayson Allen","2022-23",0.210355987055016
"Greg Monroe","2013-14",0.00434782608695652
"Greg Monroe","2014-15",0.00320512820512821
"Greg Monroe","2015-16",0.0304568527918782
"Harrison Barnes","2014-15",0
"Harrison Barnes","2015-16",0
"Harrison Barnes","2017-18",0.0440097799511002
"Harrison Barnes","2018-19",0.0468431771894094
"Harrison Barnes","2019-20",0.0402097902097902
"Harrison Barnes","2020-21",0.0357142857142857
"Harrison Barnes","2021-22",0.0502793296089385
"Harrison Barnes","2022-23",0.0513784461152882
"Hassan Whiteside","2014-15",0.575342465753425
"Hassan Whiteside","2015-16",0.451162790697674
"Hassan Whiteside","2016-17",0.353535353535354
"Hassan Whiteside","2017-18",0.29023746701847
"Hassan Whiteside","2018-19",0.299349240780911
"Hassan Whiteside","2019-20",0.270718232044199
"Henry Sims","2014-15",0.267441860465116
"Herb Jones","2021-22",NA
"Herb Jones","2022-23",0
"Hollis Thompson","2013-14",NA
"Ian Mahinmi","2015-16",0.169014084507042
"Ian Mahinmi","2019-20",0.164426059979317
"Iman Shumpert","2013-14",0.0472972972972973
"Iman Shumpert","2014-15",0.0652173913043478
"Isaac Bonga","2019-20",0
"Isaac Okoro","2020-21",NA
"Isaac Okoro","2021-22",0.0694444444444444
"Isaiah Canaan","2015-16",0.231707317073171
"Isaiah Canaan","2016-17",0.166666666666667
"Isaiah Stewart II","2021-22",0
"Isaiah Stewart II","2022-23",0
"Isaiah Thomas","2013-14",0.00675675675675676
"Isaiah Thomas","2015-16",0.0857142857142857
