"Season","Team","Position","Player","Age","MPG","G"
"2018-19","Brooklyn Nets","SF","Caris LeVert",24,26.6,40
"2020-21","Indiana Pacers","SG","Caris LeVert",26,31.6,47
"2022-23","Cleveland Cavaliers","SF","Caris LeVert",28,30.2,74
"2013-14","Chicago Bulls","PF","Carlos Boozer",32,28.2,76
"2013-14","New York Knicks","SF","Carmelo Anthony",29,38.7,77
"2014-15","New York Knicks","PF","Carmelo Anthony",30,35.7,40
"2015-16","New York Knicks","SF","Carmelo Anthony",31,35.1,72
"2016-17","New York Knicks","SF","Carmelo Anthony",32,34.3,74
"2017-18","Oklahoma City Thunder","PF","Carmelo Anthony",33,32.1,78
"2019-20","Portland Trail Blazers","PF","Carmelo Anthony",35,32.8,58
"2014-15","Detroit Pistons","SF","Caron Butler",34,20.8,78
"2017-18","Cleveland Cavaliers","SF","Cedi Osman",22,11,61
"2018-19","Cleveland Cavaliers","SF","Cedi Osman",23,32.2,76
"2019-20","Cleveland Cavaliers","SF","Cedi Osman",24,29.4,65
"2014-15","Dallas Mavericks","SF","Chandler Parsons",26,33.1,66
"2013-14","Phoenix Suns","PF","Channing Frye",30,28.2,82
"2014-15","Orlando Magic","PF","Channing Frye",31,24.9,75
"2013-14","Miami Heat","C","Chris Bosh",29,32,79
"2014-15","Miami Heat","PF","Chris Bosh",30,35.4,44
"2021-22","Indiana Pacers","PF","Chris Duarte",24,28,55
"2013-14","Los Angeles Clippers","PG","Chris Paul",28,35,62
"2014-15","Los Angeles Clippers","PG","Chris Paul",29,34.8,82
"2015-16","Los Angeles Clippers","PG","Chris Paul",30,32.7,74
"2018-19","Houston Rockets","PG","Chris Paul",33,32,58
"2019-20","Oklahoma City Thunder","PG","Chris Paul",34,31.5,70
"2020-21","Phoenix Suns","PG","Chris Paul",35,31.4,70
"2021-22","Phoenix Suns","PG","Chris Paul",36,32.9,65
"2022-23","Phoenix Suns","PG","Chris Paul",37,32,59
"2020-21","Houston Rockets","C","Christian Wood",25,32.3,41
"2016-17","Houston Rockets","C","Clint Capela",22,23.9,65
"2018-19","Houston Rockets","C","Clint Capela",24,33.6,67
"2020-21","Atlanta Hawks","C","Clint Capela",26,30.1,63
"2022-23","Atlanta Hawks","C","Clint Capela",28,26.6,65
"2020-21","Chicago Bulls","PG","Coby White",20,31.2,69
"2014-15","Charlotte Hornets","PF","Cody Zeller",22,24,62
"2016-17","Charlotte Hornets","C","Cody Zeller",24,27.8,62
"2018-19","Charlotte Hornets","C","Cody Zeller",26,25.4,49
"2019-20","Charlotte Hornets","C","Cody Zeller",27,23.1,58
"2020-21","Orlando Magic","PG","Cole Anthony",20,27.1,47
"2021-22","Orlando Magic","PG","Cole Anthony",21,31.7,65
"2018-19","Cleveland Cavaliers","PG","Collin Sexton",20,31.8,82
"2019-20","Cleveland Cavaliers","SG","Collin Sexton",21,33,65
"2020-21","Cleveland Cavaliers","SG","Collin Sexton",22,35.3,60
"2013-14","Minnesota Timberwolves","SF","Corey Brewer",27,32.2,81
"2022-23","Washington Wizards","SF","Corey Kispert",23,28.3,74
"2013-14","Memphis Grizzlies","SG","Courtney Lee",28,25,79
"2014-15","Memphis Grizzlies","SG","Courtney Lee",29,30.6,77
"2015-16","Charlotte Hornets","SG","Courtney Lee",30,29.5,79
"2016-17","New York Knicks","SG","Courtney Lee",31,31.9,77
"2017-18","New York Knicks","PG","Courtney Lee",32,30.4,76
"2015-16","Los Angeles Lakers","PG","D'Angelo Russell",19,28.2,80
"2017-18","Brooklyn Nets","PG","D'Angelo Russell",21,25.7,48
"2018-19","Brooklyn Nets","PG","D'Angelo Russell",22,30.2,81
"2019-20","Minnesota Timberwolves","PG","D'Angelo Russell",23,32.3,45
"2021-22","Minnesota Timberwolves","SG","D'Angelo Russell",25,32,65
"2022-23","Los Angeles Lakers","SG","D'Angelo Russell",26,32.5,71
"2017-18","Orlando Magic","PG","D.J. Augustin",30,23.5,75
"2018-19","Orlando Magic","PG","D.J. Augustin",31,28,81
"2013-14","Portland Trail Blazers","PG","Damian Lillard",23,35.8,82
"2014-15","Portland Trail Blazers","PG","Damian Lillard",24,35.7,82
"2015-16","Portland Trail Blazers","PG","Damian Lillard",25,35.7,75
"2016-17","Portland Trail Blazers","PG","Damian Lillard",26,35.9,75
"2017-18","Portland Trail Blazers","PG","Damian Lillard",27,36.6,73
"2018-19","Portland Trail Blazers","PG","Damian Lillard",28,35.5,80
"2019-20","Portland Trail Blazers","PG","Damian Lillard",29,37.5,66
"2020-21","Portland Trail Blazers","PG","Damian Lillard",30,35.8,67
"2021-22","Portland Trail Blazers","PG","Damian Lillard",31,36.4,29
"2022-23","Portland Trail Blazers","PG","Damian Lillard",32,36.3,58
"2019-20","Golden State Warriors","PG","Damion Lee",27,29,49
"2018-19","New York Knicks","SG","Damyean Dotson",24,27.5,73
"2021-22","Washington Wizards","C","Daniel Gafford",23,20.1,72
"2022-23","Washington Wizards","C","Daniel Gafford",24,20.6,78
"2019-20","Boston Celtics","C","Daniel Theis",27,24.1,65
"2020-21","Chicago Bulls","PF","Daniel Theis",28,24.6,65
"2014-15","Denver Nuggets","SG","Danilo Gallinari",26,24.2,59
"2015-16","Denver Nuggets","SF","Danilo Gallinari",27,34.7,53
"2016-17","Denver Nuggets","SF","Danilo Gallinari",28,33.9,63
"2017-18","Los Angeles Clippers","PF","Danilo Gallinari",29,32,21
"2018-19","Los Angeles Clippers","PF","Danilo Gallinari",30,30.3,68
"2019-20","Oklahoma City Thunder","PF","Danilo Gallinari",31,29.6,62
"2021-22","Atlanta Hawks","PF","Danilo Gallinari",33,25.3,66
"2013-14","San Antonio Spurs","SG","Danny Green",26,24.3,68
"2014-15","San Antonio Spurs","SG","Danny Green",27,28.5,81
"2015-16","San Antonio Spurs","SG","Danny Green",28,26.1,79
"2016-17","San Antonio Spurs","SF","Danny Green",29,26.6,68
"2017-18","San Antonio Spurs","SF","Danny Green",30,25.6,70
"2018-19","Toronto Raptors","SG","Danny Green",31,27.7,80
"2020-21","Philadelphia 76ers","SF","Danny Green",33,28,69
"2015-16","New Orleans Pelicans","SF","Dante Cunningham",28,24.6,80
"2016-17","New Orleans Pelicans","PF","Dante Cunningham",29,25,66
"2014-15","Utah Jazz","SG","Danté Exum",19,22.2,82
"2019-20","Houston Rockets","SF","Danuel House Jr.",26,30.4,63
"2016-17","Philadelphia 76ers","PF","Dario Šarić",22,26.3,81
"2017-18","Philadelphia 76ers","SF","Dario Šarić",23,29.6,78
"2019-20","Phoenix Suns","PF","Dario Šarić",25,24.7,66
"2020-21","Oklahoma City Thunder","PF","Darius Bazley",20,31.2,55
"2021-22","Oklahoma City Thunder","PF","Darius Bazley",21,27.9,69
"2019-20","Cleveland Cavaliers","PG","Darius Garland",20,30.9,59
"2020-21","Cleveland Cavaliers","PG","Darius Garland",21,33.1,54
"2021-22","Cleveland Cavaliers","PG","Darius Garland",22,35.7,68
"2022-23","Cleveland Cavaliers","PG","Darius Garland",23,35.5,69
"2017-18","New Orleans Pelicans","SF","Darius Miller",27,23.7,82
"2014-15","Sacramento Kings","PG","Darren Collison",27,34.8,45
"2017-18","Indiana Pacers","PG","Darren Collison",30,29.2,69
"2018-19","Indiana Pacers","PG","Darren Collison",31,28.2,76
"2013-14","Golden State Warriors","C","David Lee",30,33.2,69
"2013-14","Indiana Pacers","PF","David West",33,30.9,80
"2014-15","Indiana Pacers","PF","David West",34,28.7,66
"2017-18","Sacramento Kings","PG","De'Aaron Fox",20,27.8,73
"2018-19","Sacramento Kings","PG","De'Aaron Fox",21,31.4,81
"2019-20","Sacramento Kings","PG","De'Aaron Fox",22,32,51
"2020-21","Sacramento Kings","PG","De'Aaron Fox",23,35.1,58
"2021-22","Sacramento Kings","PG","De'Aaron Fox",24,35.3,59
"2022-23","Sacramento Kings","PG","De'Aaron Fox",25,33.4,73
"2019-20","Atlanta Hawks","SF","De'Andre Hunter",22,32,63
"2021-22","Atlanta Hawks","SF","De'Andre Hunter",24,29.8,53
"2022-23","Atlanta Hawks","SF","De'Andre Hunter",25,31.7,67
"2018-19","Phoenix Suns","PG","De'Anthony Melton",20,19.7,50
"2013-14","Los Angeles Clippers","C","DeAndre Jordan",25,35,82
"2014-15","Los Angeles Clippers","C","DeAndre Jordan",26,34.4,82
