"Season","Team","Position","Player","Age","MPG","G"
"2015-16","Atlanta Hawks","PF","Paul Millsap",30,32.7,81
"2016-17","Atlanta Hawks","PF","Paul Millsap",31,34,69
"2017-18","Denver Nuggets","PF","Paul Millsap",32,30.1,38
"2018-19","Denver Nuggets","PF","Paul Millsap",33,27.1,70
"2019-20","Denver Nuggets","PF","Paul Millsap",34,24.3,51
"2013-14","Brooklyn Nets","PF","Paul Pierce",36,28,75
"2014-15","Washington Wizards","SF","Paul Pierce",37,26.2,73
"2013-14","Atlanta Hawks","C","Pero Antic",31,18.5,50
"2022-23","New York Knicks","SG","Quentin Grimes",22,29.9,71
"2014-15","New Orleans Pelicans","SF","Quincy Pondexter",26,23.9,75
"2017-18","Golden State Warriors","PG","Quinn Cook",24,22.4,33
"2019-20","New York Knicks","SG","RJ Barrett",19,30.4,56
"2020-21","New York Knicks","SG","RJ Barrett",20,34.9,72
"2021-22","New York Knicks","SF","RJ Barrett",21,34.5,70
"2022-23","New York Knicks","SF","RJ Barrett",22,33.9,73
"2013-14","Boston Celtics","PG","Rajon Rondo",27,33.3,30
"2014-15","Dallas Mavericks","PG","Rajon Rondo",28,29.7,68
"2015-16","Sacramento Kings","PG","Rajon Rondo",29,35.2,72
"2013-14","Denver Nuggets","SG","Randy Foye",30,30.7,81
"2016-17","Brooklyn Nets","SG","Randy Foye",33,18.6,69
"2015-16","Utah Jazz","PG","Raul Neto",23,18.5,81
"2013-14","Sacramento Kings","SG","Ray McCallum",22,19.9,45
"2013-14","New York Knicks","PG","Raymond Felton",29,31,65
"2015-16","Dallas Mavericks","PG","Raymond Felton",31,27.4,80
"2017-18","Detroit Pistons","SF","Reggie Bullock Jr.",26,27.9,62
"2019-20","New York Knicks","SF","Reggie Bullock Jr.",28,23.6,29
"2020-21","New York Knicks","SF","Reggie Bullock Jr.",29,30,65
"2021-22","Dallas Mavericks","SF","Reggie Bullock Jr.",30,28,68
"2022-23","Dallas Mavericks","PF","Reggie Bullock Jr.",31,30.3,78
"2015-16","Detroit Pistons","PG","Reggie Jackson",25,30.7,79
"2017-18","Detroit Pistons","SG","Reggie Jackson",27,26.7,45
"2018-19","Detroit Pistons","PG","Reggie Jackson",28,27.9,82
"2020-21","Los Angeles Clippers","PG","Reggie Jackson",30,23,67
"2021-22","Los Angeles Clippers","PG","Reggie Jackson",31,31.2,75
"2013-14","Utah Jazz","SF","Richard Jefferson",33,27,82
"2016-17","Philadelphia 76ers","C","Richaun Holmes",23,20.9,57
"2019-20","Sacramento Kings","C","Richaun Holmes",26,28.2,44
"2020-21","Sacramento Kings","C","Richaun Holmes",27,29.2,61
"2021-22","Sacramento Kings","C","Richaun Holmes",28,23.9,45
"2013-14","Minnesota Timberwolves","PG","Ricky Rubio",23,32.2,82
"2015-16","Minnesota Timberwolves","PG","Ricky Rubio",25,30.6,76
"2016-17","Minnesota Timberwolves","PG","Ricky Rubio",26,32.9,75
"2017-18","Utah Jazz","PG","Ricky Rubio",27,29.3,77
"2018-19","Utah Jazz","PG","Ricky Rubio",28,27.9,68
"2019-20","Phoenix Suns","PG","Ricky Rubio",29,31,65
"2020-21","Minnesota Timberwolves","PG","Ricky Rubio",30,26.1,68
"2014-15","Philadelphia 76ers","SG","Robert Covington",24,27.9,70
"2015-16","Philadelphia 76ers","PF","Robert Covington",25,28.4,67
"2017-18","Philadelphia 76ers","PF","Robert Covington",27,31.7,80
"2019-20","Houston Rockets","C","Robert Covington",29,30.5,70
"2020-21","Portland Trail Blazers","C","Robert Covington",30,32,70
"2021-22","Los Angeles Clippers","SF","Robert Covington",31,27.3,71
"2021-22","Boston Celtics","C","Robert Williams III",24,29.6,61
"2022-23","Boston Celtics","C","Robert Williams III",25,23.5,35
"2013-14","Portland Trail Blazers","C","Robin Lopez",25,31.7,82
"2014-15","Portland Trail Blazers","C","Robin Lopez",26,27.8,59
"2015-16","New York Knicks","C","Robin Lopez",27,27.1,82
"2016-17","Chicago Bulls","C","Robin Lopez",28,28,81
"2017-18","Chicago Bulls","C","Robin Lopez",29,26.4,64
"2018-19","Chicago Bulls","C","Robin Lopez",30,21.7,74
"2018-19","Brooklyn Nets","PF","Rodions Kurucs",20,20.5,63
"2015-16","Utah Jazz","SG","Rodney Hood",23,32.2,79
"2019-20","Portland Trail Blazers","SF","Rodney Hood",27,29.5,21
"2016-17","Miami Heat","SF","Rodney McGruder",25,25.2,78
"2016-17","New York Knicks","PG","Ron Baker",23,16.5,52
"2016-17","Brooklyn Nets","PF","Rondae Hollis-Jefferson",22,22.6,78
"2017-18","Brooklyn Nets","PF","Rondae Hollis-Jefferson",23,28.2,68
"2013-14","Indiana Pacers","C","Roy Hibbert",27,29.7,81
"2014-15","Indiana Pacers","C","Roy Hibbert",28,25.3,76
"2015-16","Los Angeles Lakers","C","Roy Hibbert",29,23.2,81
"2019-20","Utah Jazz","PF","Royce O'Neale",26,28.9,71
"2020-21","Utah Jazz","PF","Royce O'Neale",27,31.6,71
"2021-22","Utah Jazz","PF","Royce O'Neale",28,31.2,77
"2014-15","Sacramento Kings","SF","Rudy Gay",28,35.4,68
"2015-16","Sacramento Kings","SF","Rudy Gay",29,34,70
"2018-19","San Antonio Spurs","PF","Rudy Gay",32,26.7,69
"2014-15","Utah Jazz","C","Rudy Gobert",22,26.3,82
"2015-16","Utah Jazz","C","Rudy Gobert",23,31.7,61
"2016-17","Utah Jazz","C","Rudy Gobert",24,33.9,81
"2017-18","Utah Jazz","C","Rudy Gobert",25,32.4,56
"2018-19","Utah Jazz","C","Rudy Gobert",26,31.8,81
"2019-20","Utah Jazz","C","Rudy Gobert",27,34.3,68
"2020-21","Utah Jazz","C","Rudy Gobert",28,30.8,71
"2021-22","Utah Jazz","C","Rudy Gobert",29,32.1,66
"2022-23","Minnesota Timberwolves","C","Rudy Gobert",30,30.7,70
"2019-20","Washington Wizards","SF","Rui Hachimura",21,30.1,48
"2020-21","Washington Wizards","PF","Rui Hachimura",22,31.5,57
"2013-14","Oklahoma City Thunder","PG","Russell Westbrook",25,30.7,46
"2014-15","Oklahoma City Thunder","PG","Russell Westbrook",26,34.4,67
"2015-16","Oklahoma City Thunder","PG","Russell Westbrook",27,34.4,80
"2016-17","Oklahoma City Thunder","PG","Russell Westbrook",28,34.6,81
"2017-18","Oklahoma City Thunder","PG","Russell Westbrook",29,36.4,80
"2018-19","Oklahoma City Thunder","PG","Russell Westbrook",30,36,73
"2019-20","Houston Rockets","PG","Russell Westbrook",31,35.9,57
"2020-21","Washington Wizards","PG","Russell Westbrook",32,36.4,65
"2021-22","Los Angeles Lakers","PG","Russell Westbrook",33,34.3,78
"2022-23","Los Angeles Clippers","PG","Russell Westbrook",34,29.1,73
"2016-17","Houston Rockets","PF","Ryan Anderson",28,29.4,72
"2017-18","Houston Rockets","PF","Ryan Anderson",29,26.1,66
"2020-21","Detroit Pistons","SF","Saddiq Bey",21,27.3,70
"2021-22","Detroit Pistons","SF","Saddiq Bey",22,33,82
"2013-14","Dallas Mavericks","C","Samuel Dalembert",32,20.2,80
"2022-23","Toronto Raptors","SG","Scottie Barnes",21,34.8,77
"2019-20","Detroit Pistons","PF","Sekou Doumbouya",19,19.8,38
"2013-14","Oklahoma City Thunder","PF","Serge Ibaka",24,32.9,81
"2014-15","Oklahoma City Thunder","PF","Serge Ibaka",25,33.1,64
"2015-16","Oklahoma City Thunder","PF","Serge Ibaka",26,32.1,78
"2016-17","Toronto Raptors","PF","Serge Ibaka",27,30.7,79
"2017-18","Toronto Raptors","PF","Serge Ibaka",28,27.5,76
"2018-19","Toronto Raptors","C","Serge Ibaka",29,27.2,74
"2020-21","Los Angeles Clippers","C","Serge Ibaka",31,23.3,41
"2020-21","Philadelphia 76ers","SG","Seth Curry",30,28.7,57
"2021-22","Brooklyn Nets","SG","Seth Curry",31,33.4,64
"2018-19","Los Angeles Clippers","SG","Shai Gilgeous-Alexander",20,26.5,82
"2019-20","Oklahoma City Thunder","SG","Shai Gilgeous-Alexander",21,34.7,70
"2020-21","Oklahoma City Thunder","SG","Shai Gilgeous-Alexander",22,33.7,35
"2021-22","Oklahoma City Thunder","PG","Shai Gilgeous-Alexander",23,34.7,56
"2022-23","Oklahoma City Thunder","SG","Shai Gilgeous-Alexander",24,35.5,68
"2013-14","Miami Heat","PF","Shane Battier",35,20.1,73
"2013-14","Brooklyn Nets","SG","Shaun Livingston",28,26,76
"2013-14","Dallas Mavericks","SF","Shawn Marion",35,31.7,76
"2016-17","Utah Jazz","PG","Shelvin Mack",26,21.9,55
"2016-17","Sacramento Kings","PF","Skal Labissiere",20,18.5,33
"2014-15","Indiana Pacers","SF","Solomon Hill",23,29,82
"2016-17","New Orleans Pelicans","SG","Solomon Hill",25,29.7,80
"2017-18","Brooklyn Nets","SG","Spencer Dinwiddie",24,28.8,80
"2019-20","Brooklyn Nets","PG","Spencer Dinwiddie",26,31.2,64
"2022-23","Brooklyn Nets","PG","Spencer Dinwiddie",29,34.5,79
"2017-18","Detroit Pistons","PF","Stanley Johnson",21,27.4,69
"2013-14","Golden State Warriors","PG","Stephen Curry",25,36.5,78
"2014-15","Golden State Warriors","PG","Stephen Curry",26,32.7,80
"2015-16","Golden State Warriors","PG","Stephen Curry",27,34.2,79
"2016-17","Golden State Warriors","PG","Stephen Curry",28,33.4,79
"2017-18","Golden State Warriors","SG","Stephen Curry",29,32,51
"2018-19","Golden State Warriors","PG","Stephen Curry",30,33.8,69
"2020-21","Golden State Warriors","PG","Stephen Curry",32,34.2,63
"2021-22","Golden State Warriors","PG","Stephen Curry",33,34.5,64
"2022-23","Golden State Warriors","PG","Stephen Curry",34,34.7,56
"2014-15","Oklahoma City Thunder","C","Steven Adams",21,25.3,70
"2015-16","Oklahoma City Thunder","C","Steven Adams",22,25.2,80
"2016-17","Oklahoma City Thunder","C","Steven Adams",23,29.9,80
"2017-18","Oklahoma City Thunder","C","Steven Adams",24,32.7,76
"2018-19","Oklahoma City Thunder","C","Steven Adams",25,33.4,80
"2019-20","Oklahoma City Thunder","C","Steven Adams",26,26.7,63
"2020-21","New Orleans Pelicans","C","Steven Adams",27,27.7,58
"2021-22","Memphis Grizzlies","C","Steven Adams",28,26.3,76
"2019-20","Detroit Pistons","C","Svi Mykhailiuk",22,22.6,56
"2016-17","Philadelphia 76ers","PG","T.J. McConnell",24,26.3,81
"2016-17","Phoenix Suns","SF","T.J. Warren",23,31,66
"2017-18","Phoenix Suns","SG","T.J. Warren",24,33,65
"2018-19","Phoenix Suns","PF","T.J. Warren",25,31.6,43
"2019-20","Indiana Pacers","SF","T.J. Warren",26,32.9,67
"2015-16","Chicago Bulls","PF","Taj Gibson",30,26.5,73
"2016-17","Oklahoma City Thunder","PF","Taj Gibson",31,25.5,78
"2017-18","Minnesota Timberwolves","PF","Taj Gibson",32,33.2,82
"2018-19","Minnesota Timberwolves","PF","Taj Gibson",33,24.1,70
"2016-17","Atlanta Hawks","SF","Taurean Prince",22,16.6,59
"2017-18","Atlanta Hawks","SF","Taurean Prince",23,30,82
"2018-19","Atlanta Hawks","SF","Taurean Prince",24,28.2,55
"2019-20","Brooklyn Nets","PF","Taurean Prince",25,29,64
"2015-16","Minnesota Timberwolves","SF","Tayshaun Prince",35,19,77
"2018-19","Oklahoma City Thunder","SG","Terrance Ferguson",20,26.1,74
"2019-20","Oklahoma City Thunder","SF","Terrance Ferguson",21,22.4,56
"2013-14","Houston Rockets","PF","Terrence Jones",22,27.3,76
"2015-16","Houston Rockets","PF","Terrence Jones",24,20.9,50
"2013-14","Toronto Raptors","SF","Terrence Ross",22,26.7,81
"2014-15","Toronto Raptors","SF","Terrence Ross",23,25.5,82
"2016-17","Orlando Magic","SF","Terrence Ross",25,25.1,78
"2019-20","Charlotte Hornets","PG","Terry Rozier",25,34.3,63
"2020-21","Charlotte Hornets","PG","Terry Rozier",26,34.5,69
"2021-22","Charlotte Hornets","SG","Terry Rozier",27,33.7,73
"2022-23","Charlotte Hornets","SG","Terry Rozier",28,35.3,63
"2013-14","Oklahoma City Thunder","SG","Thabo Sefolosha",29,26,61
"2013-14","Philadelphia 76ers","C","Thaddeus Young",25,34.4,79
"2014-15","Brooklyn Nets","PF","Thaddeus Young",26,32,76
"2015-16","Brooklyn Nets","PF","Thaddeus Young",27,33,73
"2016-17","Indiana Pacers","PF","Thaddeus Young",28,30.2,74
"2017-18","Indiana Pacers","PF","Thaddeus Young",29,32.2,81
"2018-19","Indiana Pacers","PF","Thaddeus Young",30,30.7,81
"2020-21","Oklahoma City Thunder","PG","Theo Maledon",19,27.4,65
"2018-19","Washington Wizards","C","Thomas Bryant",21,20.8,72
"2019-20","Washington Wizards","PF","Thomas Bryant",22,24.9,46
"2016-17","Milwaukee Bucks","C","Thon Maker",19,9.9,57
"2013-14","San Antonio Spurs","C","Tiago Splitter",29,21.5,59
"2014-15","San Antonio Spurs","C","Tiago Splitter",30,19.8,52
"2013-14","San Antonio Spurs","PF","Tim Duncan",37,29.2,74
"2014-15","San Antonio Spurs","PF","Tim Duncan",38,28.9,77
"2015-16","San Antonio Spurs","PF","Tim Duncan",39,25.2,61
"2014-15","New York Knicks","SF","Tim Hardaway Jr.",22,24,70
"2016-17","Atlanta Hawks","SG","Tim Hardaway Jr.",24,27.3,79
"2017-18","New York Knicks","SG","Tim Hardaway Jr.",25,33.1,57
"2019-20","Dallas Mavericks","SG","Tim Hardaway Jr.",27,29.5,71
"2022-23","Dallas Mavericks","SF","Tim Hardaway Jr.",30,30.3,71
"2014-15","Cleveland Cavaliers","C","Timofey Mozgov",28,25.2,81
"2016-17","Philadelphia 76ers","SG","Timothe Luwawu-Cabarrot",21,17.2,69
"2014-15","Orlando Magic","SF","Tobias Harris",22,34.8,68
"2015-16","Detroit Pistons","PF","Tobias Harris",23,33.1,76
"2018-19","Philadelphia 76ers","PF","Tobias Harris",26,34.7,82
"2019-20","Philadelphia 76ers","SF","Tobias Harris",27,34.3,72
"2020-21","Philadelphia 76ers","PF","Tobias Harris",28,32.5,62
"2021-22","Philadelphia 76ers","SF","Tobias Harris",29,34.8,73
"2022-23","Philadelphia 76ers","SF","Tobias Harris",30,32.9,74
"2017-18","Washington Wizards","SG","Tomas Satoransky",26,22.5,73
"2018-19","Washington Wizards","PG","Tomas Satoransky",27,27.1,80
"2019-20","Chicago Bulls","PG","Tomas Satoransky",28,28.9,65
"2013-14","Memphis Grizzlies","SF","Tony Allen",32,23.2,55
"2014-15","Memphis Grizzlies","SF","Tony Allen",33,26.2,63
"2015-16","Memphis Grizzlies","SG","Tony Allen",34,25.3,64
"2013-14","San Antonio Spurs","PG","Tony Parker",31,29.4,68
"2014-15","San Antonio Spurs","PG","Tony Parker",32,28.7,68
"2015-16","San Antonio Spurs","PG","Tony Parker",33,27.5,72
"2016-17","Milwaukee Bucks","SG","Tony Snell",25,29.2,80
"2017-18","Milwaukee Bucks","SG","Tony Snell",26,27.4,75
"2019-20","Detroit Pistons","SF","Tony Snell",28,27.8,59
"2013-14","Philadelphia 76ers","SG","Tony Wroten",20,24.5,72
"2018-19","Atlanta Hawks","PG","Trae Young",20,30.9,81
"2019-20","Atlanta Hawks","PG","Trae Young",21,35.3,60
"2020-21","Atlanta Hawks","PG","Trae Young",22,33.7,63
"2021-22","Atlanta Hawks","PG","Trae Young",23,34.9,76
"2022-23","Atlanta Hawks","PG","Trae Young",24,34.8,73
"2022-23","San Antonio Spurs","PG","Tre Jones",23,29.2,68
"2013-14","Washington Wizards","SF","Trevor Ariza",28,35.4,77
"2014-15","Houston Rockets","SF","Trevor Ariza",29,35.7,82
"2015-16","Houston Rockets","SF","Trevor Ariza",30,35.3,81
"2016-17","Houston Rockets","SF","Trevor Ariza",31,34.7,80
"2018-19","Washington Wizards","SF","Trevor Ariza",33,34,69
"2013-14","Utah Jazz","PG","Trey Burke",21,32.3,70
"2014-15","Utah Jazz","PG","Trey Burke",22,30.1,76
"2019-20","San Antonio Spurs","C","Trey Lyles",24,20.2,63
"2022-23","New Orleans Pelicans","PF","Trey Murphy III",22,31,79
"2013-14","Cleveland Cavaliers","PF","Tristan Thompson",22,31.6,82
"2014-15","Cleveland Cavaliers","PF","Tristan Thompson",23,26.8,82
"2015-16","Cleveland Cavaliers","C","Tristan Thompson",24,27.7,82
"2016-17","Cleveland Cavaliers","C","Tristan Thompson",25,29.9,78
"2017-18","Cleveland Cavaliers","PF","Tristan Thompson",26,20.2,53
"2018-19","Cleveland Cavaliers","PF","Tristan Thompson",27,27.9,43
"2020-21","Boston Celtics","C","Tristan Thompson",29,23.8,54
"2013-14","Denver Nuggets","PG","Ty Lawson",26,35.8,62
"2014-15","Denver Nuggets","PG","Ty Lawson",27,35.5,75
"2016-17","Sacramento Kings","PG","Ty Lawson",29,25.1,69
"2016-17","Los Angeles Lakers","PG","Tyler Ennis",22,11.1,53
"2017-18","Miami Heat","SG","Tyler Johnson",25,28.5,72
"2016-17","Phoenix Suns","PG","Tyler Ulis",21,18.4,61
"2014-15","Boston Celtics","C","Tyler Zeller",25,21.1,82
"2014-15","New Orleans Pelicans","PG","Tyreke Evans",25,34.1,79
"2021-22","Indiana Pacers","SF","Tyrese Haliburton",21,35,77
"2022-23","Indiana Pacers","PG","Tyrese Haliburton",22,33.6,56
"2021-22","Philadelphia 76ers","SG","Tyrese Maxey",21,35.3,75
"2022-23","Philadelphia 76ers","SG","Tyrese Maxey",22,33.6,60
"2013-14","New York Knicks","C","Tyson Chandler",31,30.2,55
"2014-15","Dallas Mavericks","C","Tyson Chandler",32,30.5,75
"2015-16","Phoenix Suns","PF","Tyson Chandler",33,24.5,66
"2017-18","Phoenix Suns","C","Tyson Chandler",35,25,46
"2021-22","Memphis Grizzlies","PG","Tyus Jones",25,21.2,73
"2013-14","Orlando Magic","SG","Victor Oladipo",21,31.1,80
"2014-15","Orlando Magic","SG","Victor Oladipo",22,35.7,72
"2015-16","Orlando Magic","SG","Victor Oladipo",23,33,72
"2016-17","Oklahoma City Thunder","SG","Victor Oladipo",24,33.2,67
"2017-18","Indiana Pacers","SG","Victor Oladipo",25,34,75
"2018-19","Indiana Pacers","SG","Victor Oladipo",26,31.9,36
"2020-21","Miami Heat","SG","Victor Oladipo",28,27.8,4
"2015-16","Memphis Grizzlies","SF","Vince Carter",39,16.8,60
"2016-17","Memphis Grizzlies","SG","Vince Carter",40,24.6,73
"2022-23","Utah Jazz","C","Walker Kessler",21,23,74
"2014-15","Los Angeles Lakers","SG","Wayne Ellington",27,25.8,65
"2015-16","Brooklyn Nets","SG","Wayne Ellington",28,21.3,76
"2018-19","Detroit Pistons","SG","Wayne Ellington",31,24.5,53
"2020-21","Detroit Pistons","PG","Wayne Ellington",33,22,46
"2018-19","Chicago Bulls","PF","Wendell Carter Jr.",19,25.2,44
"2019-20","Chicago Bulls","C","Wendell Carter Jr.",20,29.2,43
"2020-21","Orlando Magic","C","Wendell Carter Jr.",21,25.5,54
"2021-22","Orlando Magic","PF","Wendell Carter Jr.",22,29.9,62
"2022-23","Orlando Magic","C","Wendell Carter Jr.",23,29.6,57
"2013-14","Los Angeles Lakers","SF","Wesley Johnson",26,28.4,79
"2014-15","Los Angeles Lakers","PF","Wesley Johnson",27,29.5,76
"2017-18","Los Angeles Clippers","C","Wesley Johnson",30,20.1,74
"2013-14","Portland Trail Blazers","SG","Wesley Matthews",27,33.9,82
"2015-16","Dallas Mavericks","SF","Wesley Matthews",29,33.9,78
"2016-17","Dallas Mavericks","SG","Wesley Matthews",30,34.2,73
"2017-18","Dallas Mavericks","SG","Wesley Matthews",31,33.8,63
"2019-20","Milwaukee Bucks","SG","Wesley Matthews",33,24.4,67
"2021-22","Milwaukee Bucks","SF","Wesley Matthews",35,20.4,49
"2018-19","Denver Nuggets","SF","Will Barton",28,27.7,43
"2019-20","Denver Nuggets","SF","Will Barton",29,33,58
"2020-21","Denver Nuggets","SG","Will Barton",30,31,56
"2021-22","Denver Nuggets","SG","Will Barton",31,32.1,71
"2015-16","Sacramento Kings","C","Willie Cauley-Stein",22,21.4,66
"2016-17","Sacramento Kings","C","Willie Cauley-Stein",23,18.9,75
"2017-18","Sacramento Kings","C","Willie Cauley-Stein",24,28,73
"2018-19","Sacramento Kings","C","Willie Cauley-Stein",25,27.3,81
"2016-17","New York Knicks","C","Willy Hernangomez",22,18.4,72
"2013-14","Denver Nuggets","SF","Wilson Chandler",26,31.1,62
"2014-15","Denver Nuggets","SF","Wilson Chandler",27,31.7,78
"2016-17","Denver Nuggets","PF","Wilson Chandler",29,30.9,71
"2017-18","Denver Nuggets","SF","Wilson Chandler",30,31.7,74
"2022-23","Memphis Grizzlies","C","Xavier Tillman, Sr.",24,19.3,61
"2016-17","Dallas Mavericks","PG","Yogi Ferrell",23,26,46
"2014-15","Minnesota Timberwolves","PG","Zach LaVine",19,24.7,77
"2018-19","Chicago Bulls","SG","Zach LaVine",23,34.5,63
"2019-20","Chicago Bulls","SG","Zach LaVine",24,34.8,60
"2020-21","Chicago Bulls","SG","Zach LaVine",25,35.1,58
"2021-22","Chicago Bulls","SG","Zach LaVine",26,34.7,67
"2022-23","Chicago Bulls","SG","Zach LaVine",27,35.9,77
"2013-14","Memphis Grizzlies","PF","Zach Randolph",32,34.2,79
"2014-15","Memphis Grizzlies","PF","Zach Randolph",33,32.5,71
"2015-16","Memphis Grizzlies","C","Zach Randolph",34,29.6,68
"2016-17","Memphis Grizzlies","PF","Zach Randolph",35,24.5,73
"2017-18","Sacramento Kings","PF","Zach Randolph",36,25.6,59
"2014-15","Milwaukee Bucks","C","Zaza Pachulia",30,23.7,73
"2015-16","Dallas Mavericks","C","Zaza Pachulia",31,26.4,76
"2016-17","Golden State Warriors","C","Zaza Pachulia",32,18.1,70
"2020-21","New Orleans Pelicans","PF","Zion Williamson",20,33.2,61
