"Date","Team","Acquired","Relinquished","Notes","Player","Season"
2019-12-17,"Wizards","","• Rui Hachimura","groin injury (DTD)","Rui Hachimura","2019-20"
2019-12-18,"Wizards","","• Rui Hachimura","placed on IL with groin injury","Rui Hachimura","2019-20"
2020-02-02,"Wizards","• Rui Hachimura","","activated from IL","Rui Hachimura","2019-20"
2020-12-21,"Wizards","","• Rui Hachimura","placed on IL with eye injury","Rui Hachimura","2020-21"
2020-12-30,"Wizards","• Rui Hachimura","","activated from IL","Rui Hachimura","2020-21"
2021-01-12,"Wizards","","• Rui Hachimura","NBA health and safety protocols (DTD)","Rui Hachimura","2020-21"
2021-01-24,"Wizards","","• Rui Hachimura","placed on IL with NBA health and safety protocols","Rui Hachimura","2020-21"
2021-01-28,"Wizards","• Rui Hachimura","","activated from IL","Rui Hachimura","2020-21"
2021-04-03,"Wizards","","• Rui Hachimura","placed on IL with right shoulder injury","Rui Hachimura","2020-21"
2021-04-07,"Wizards","• Rui Hachimura","","activated from IL","Rui Hachimura","2020-21"
2021-04-18,"Wizards","","• Rui Hachimura","placed on IL with sore left knee","Rui Hachimura","2020-21"
2021-04-26,"Wizards","• Rui Hachimura","","activated from IL","Rui Hachimura","2020-21"
2013-10-01,"Thunder","","• Russell Westbrook","arthroscopic surgery on right knee (out indefinitely)","Russell Westbrook","2013-14"
2013-10-30,"Thunder","","• Russell Westbrook","placed on IL recovering from arthroscopic surgery on right knee","Russell Westbrook","2013-14"
2013-11-03,"Thunder","• Russell Westbrook","","activated from IL","Russell Westbrook","2013-14"
2013-11-24,"Thunder","","• Russell Westbrook","placed on IL with knee injury","Russell Westbrook","2013-14"
2013-11-27,"Thunder","• Russell Westbrook","","activated from IL","Russell Westbrook","2013-14"
2013-12-27,"Thunder","","• Russell Westbrook","arthroscopic surgery on right knee (out indefinitely)","Russell Westbrook","2013-14"
2013-12-27,"Thunder","","• Russell Westbrook","placed on IL recovering from arthroscopic surgery on right knee","Russell Westbrook","2013-14"
2014-02-20,"Thunder","• Russell Westbrook","","activated from IL","Russell Westbrook","2013-14"
2014-03-16,"Thunder","","• Russell Westbrook","rest (DNP)","Russell Westbrook","2013-14"
2014-03-20,"Thunder","","• Russell Westbrook","rest / knee injury (DNP)","Russell Westbrook","2013-14"
2014-03-24,"Thunder","","• Russell Westbrook","rest / knee injury (DNP)","Russell Westbrook","2013-14"
2014-04-04,"Thunder","","• Russell Westbrook","rest / knee injury (DNP)","Russell Westbrook","2013-14"
2014-04-08,"Thunder","","• Russell Westbrook","knee injury (DNP)","Russell Westbrook","2013-14"
2014-04-14,"Thunder","","• Russell Westbrook","placed on IL for rest","Russell Westbrook","2013-14"
2014-04-16,"Thunder","• Russell Westbrook","","activated from IL","Russell Westbrook","2013-14"
2014-10-30,"Thunder","","• Russell Westbrook","fractured right hand (DTD)","Russell Westbrook","2014-15"
2014-11-01,"Thunder","","• Russell Westbrook","surgery on right hand to repair fracture (out indefinitely)","Russell Westbrook","2014-15"
2014-11-28,"Thunder","• Russell Westbrook","","returned to lineup","Russell Westbrook","2014-15"
2015-02-28,"Thunder","","• Russell Westbrook","surgery on right cheek to repair fracture (DTD)","Russell Westbrook","2014-15"
2015-03-04,"Thunder","• Russell Westbrook","","returned to lineup","Russell Westbrook","2014-15"
2016-04-06,"Thunder","","• Russell Westbrook","rest (DTD)","Russell Westbrook","2015-16"
2016-04-12,"Thunder","","• Russell Westbrook","rest (DTD)","Russell Westbrook","2015-16"
2017-04-11,"Thunder","","• Russell Westbrook","rest (DTD)","Russell Westbrook","2016-17"
2018-02-08,"Thunder","","• Russell Westbrook","placed on IL with sprained left ankle","Russell Westbrook","2017-18"
2018-02-13,"Thunder","• Russell Westbrook","","activated from IL","Russell Westbrook","2017-18"
2018-10-16,"Thunder","","• Russell Westbrook","right knee injury (DTD)","Russell Westbrook","2018-19"
2018-10-21,"Thunder","• Russell Westbrook","","returned to lineup","Russell Westbrook","2018-19"
2018-11-06,"Thunder","","• Russell Westbrook","sprained left ankle (DTD)","Russell Westbrook","2018-19"
2018-11-17,"Thunder","• Russell Westbrook","","returned to lineup","Russell Westbrook","2018-19"
2018-11-17,"Thunder","","• Russell Westbrook","personal reasons (DTD)","Russell Westbrook","2018-19"
2018-11-19,"Thunder","• Russell Westbrook","","returned to lineup","Russell Westbrook","2018-19"
2019-12-14,"Rockets","","• Russell Westbrook","placed on IL","Russell Westbrook","2019-20"
2019-12-16,"Rockets","• Russell Westbrook","","activated from IL","Russell Westbrook","2019-20"
2019-12-29,"Rockets","","• Russell Westbrook","placed on IL","Russell Westbrook","2019-20"
2019-12-31,"Rockets","• Russell Westbrook","","activated from IL","Russell Westbrook","2019-20"
2020-01-08,"Rockets","","• Russell Westbrook","placed on IL","Russell Westbrook","2019-20"
2020-01-09,"Rockets","• Russell Westbrook","","activated from IL","Russell Westbrook","2019-20"
2020-01-14,"Rockets","","• Russell Westbrook","placed on IL","Russell Westbrook","2019-20"
2020-01-15,"Rockets","• Russell Westbrook","","activated from IL","Russell Westbrook","2019-20"
2020-01-27,"Rockets","","• Russell Westbrook","placed on IL","Russell Westbrook","2019-20"
2020-01-29,"Rockets","• Russell Westbrook","","activated from IL","Russell Westbrook","2019-20"
2020-02-04,"Rockets","","• Russell Westbrook","placed on IL with sprained left thumb","Russell Westbrook","2019-20"
2020-02-06,"Rockets","• Russell Westbrook","","activated from IL","Russell Westbrook","2019-20"
2020-02-07,"Rockets","","• Russell Westbrook","placed on IL","Russell Westbrook","2019-20"
2020-02-09,"Rockets","• Russell Westbrook","","activated from IL","Russell Westbrook","2019-20"
2020-02-24,"Rockets","","• Russell Westbrook","left thumb injury (DTD)","Russell Westbrook","2019-20"
2020-02-26,"Rockets","• Russell Westbrook","","returned to lineup","Russell Westbrook","2019-20"
2021-01-09,"Wizards","","• Russell Westbrook","left quadriceps injury (DTD)","Russell Westbrook","2020-21"
2021-01-11,"Wizards","","• Russell Westbrook","placed on IL with left quadriceps injury","Russell Westbrook","2020-21"
2021-01-24,"Wizards","• Russell Westbrook","","activated from IL","Russell Westbrook","2020-21"
2022-02-09,"Lakers","","• Russell Westbrook","tightness in lower back (DTD)","Russell Westbrook","2021-22"
2022-02-12,"Lakers","• Russell Westbrook","","returned to lineup","Russell Westbrook","2021-22"
2022-04-07,"Lakers","","• Russell Westbrook","placed on IL with sore right shoulder (out for season)","Russell Westbrook","2021-22"
2022-10-26,"Lakers","","• Russell Westbrook","placed on IL with hamstring injury","Russell Westbrook","2022-23"
2022-10-28,"Lakers","• Russell Westbrook","","activated from IL","Russell Westbrook","2022-23"
2022-12-19,"Lakers","","• Russell Westbrook","sore left foot (DTD)","Russell Westbrook","2022-23"
2017-01-17,"Rockets","","• Ryan Anderson","flu (DTD)","Ryan Anderson","2016-17"
2017-01-20,"Rockets","• Ryan Anderson","","returned to lineup","Ryan Anderson","2016-17"
2017-01-21,"Rockets","","• Ryan Anderson","illness (DTD)","Ryan Anderson","2016-17"
2017-01-23,"Rockets","• Ryan Anderson","","returned to lineup","Ryan Anderson","2016-17"
2017-03-08,"Rockets","","• Ryan Anderson","back injury (DTD)","Ryan Anderson","2016-17"
2017-03-10,"Rockets","• Ryan Anderson","","returned to lineup","Ryan Anderson","2016-17"
2017-03-25,"Rockets","","• Ryan Anderson","sprained right ankle (DTD)","Ryan Anderson","2016-17"
2017-03-26,"Rockets","","• Ryan Anderson","placed on IL with sprained right ankle","Ryan Anderson","2016-17"
2017-04-07,"Rockets","• Ryan Anderson","","activated from IL","Ryan Anderson","2016-17"
2017-11-22,"Rockets","","• Ryan Anderson","placed on IL with illness","Ryan Anderson","2017-18"
2017-11-25,"Rockets","• Ryan Anderson","","activated from IL","Ryan Anderson","2017-18"
2018-02-07,"Rockets","","• Ryan Anderson","sprained right ankle (DTD)","Ryan Anderson","2017-18"
2018-02-09,"Rockets","• Ryan Anderson","","returned to lineup","Ryan Anderson","2017-18"
2018-02-26,"Rockets","","• Ryan Anderson","sore left groin/hip (DTD)","Ryan Anderson","2017-18"
2018-03-17,"Rockets","• Ryan Anderson","","returned to lineup","Ryan Anderson","2017-18"
2018-03-25,"Rockets","","• Ryan Anderson","placed on IL for rest","Ryan Anderson","2017-18"
2018-03-27,"Rockets","• Ryan Anderson","","activated from IL","Ryan Anderson","2017-18"
2018-04-04,"Rockets","","• Ryan Anderson","sprained left ankle (DTD)","Ryan Anderson","2017-18"
2018-04-05,"Rockets","","• Ryan Anderson","placed on IL with sprained left ankle","Ryan Anderson","2017-18"
2018-04-21,"Rockets","• Ryan Anderson","","activated from IL","Ryan Anderson","2017-18"
2022-10-24,"Raptors","","• Scottie Barnes","placed on IL with sprained right ankle","Scottie Barnes","2022-23"
2022-10-26,"Raptors","• Scottie Barnes","","activated from IL","Scottie Barnes","2022-23"
2022-11-23,"Raptors","","• Scottie Barnes","placed on IL with left knee injury","Scottie Barnes","2022-23"
2022-11-28,"Raptors","• Scottie Barnes","","activated from IL","Scottie Barnes","2022-23"
2023-03-22,"Raptors","","• Scottie Barnes","sore left wrist (DTD)","Scottie Barnes","2022-23"
2023-03-24,"Raptors","","• Scottie Barnes","placed on IL with sore left wrist","Scottie Barnes","2022-23"
2023-03-26,"Raptors","• Scottie Barnes","","activated from IL","Scottie Barnes","2022-23"
2019-10-22,"Pistons","","• Sekou Doumbouya","concussion (DTD)","Sekou Doumbouya","2019-20"
2019-10-23,"Pistons","","• Sekou Doumbouya","placed on IL","Sekou Doumbouya","2019-20"
2019-11-23,"Pistons","• Sekou Doumbouya","","activated from IL","Sekou Doumbouya","2019-20"
2019-11-25,"Pistons","","• Sekou Doumbouya","placed on IL","Sekou Doumbouya","2019-20"
2019-12-01,"Pistons","• Sekou Doumbouya","","activated from IL","Sekou Doumbouya","2019-20"
2019-12-06,"Pistons","","• Sekou Doumbouya","placed on IL","Sekou Doumbouya","2019-20"
2019-12-20,"Pistons","• Sekou Doumbouya","","activated from IL","Sekou Doumbouya","2019-20"
2019-12-26,"Pistons","","• Sekou Doumbouya","placed on IL with illness","Sekou Doumbouya","2019-20"
2019-12-30,"Pistons","• Sekou Doumbouya","","activated from IL","Sekou Doumbouya","2019-20"
2014-01-07,"Thunder","","• Serge Ibaka","flu (DNP)","Serge Ibaka","2013-14"
2015-03-13,"Thunder","","• Serge Ibaka","placed on IL with right knee injury (out for season)","Serge Ibaka","2014-15"
2015-03-17,"Thunder","","• Serge Ibaka","arthroscopic surgery on right knee (out indefinitely)","Serge Ibaka","2014-15"
2016-03-18,"Thunder","","• Serge Ibaka","placed on IL for rest","Serge Ibaka","2015-16"
2016-03-19,"Thunder","• Serge Ibaka","","activated from IL","Serge Ibaka","2015-16"
2016-03-29,"Thunder","","• Serge Ibaka","placed on IL","Serge Ibaka","2015-16"
2016-03-31,"Thunder","• Serge Ibaka","","activated from IL","Serge Ibaka","2015-16"
2016-04-06,"Thunder","","• Serge Ibaka","rest (DTD)","Serge Ibaka","2015-16"
2016-04-12,"Thunder","","• Serge Ibaka","placed on IL for rest","Serge Ibaka","2015-16"
2017-01-10,"Magic","","• Serge Ibaka","sore right shoulder (DTD)","Serge Ibaka","2016-17"
2017-01-13,"Magic","• Serge Ibaka","","returned to lineup","Serge Ibaka","2016-17"
2017-02-15,"Raptors","","• Serge Ibaka","placed on IL","Serge Ibaka","2016-17"
2017-04-12,"Raptors","","• Serge Ibaka","placed on IL","Serge Ibaka","2016-17"
2017-10-30,"Raptors","","• Serge Ibaka","swollen left / right knee (DTD)","Serge Ibaka","2017-18"
2017-11-01,"Raptors","• Serge Ibaka","","returned to lineup","Serge Ibaka","2017-18"
2017-11-17,"Raptors","","• Serge Ibaka","placed on IL with swelling in left knee","Serge Ibaka","2017-18"
2017-11-19,"Raptors","• Serge Ibaka","","activated from IL","Serge Ibaka","2017-18"
2017-12-17,"Raptors","","• Serge Ibaka","placed on IL with sore left knee (DTD)","Serge Ibaka","2017-18"
2017-12-20,"Raptors","• Serge Ibaka","","activated from IL","Serge Ibaka","2017-18"
2018-04-09,"Raptors","","• Serge Ibaka","placed on IL for rest","Serge Ibaka","2017-18"
2018-04-11,"Raptors","• Serge Ibaka","","activated from IL","Serge Ibaka","2017-18"
2018-11-14,"Raptors","","• Serge Ibaka","sore right knee (DTD)","Serge Ibaka","2018-19"
2018-11-16,"Raptors","• Serge Ibaka","","returned to lineup","Serge Ibaka","2018-19"
2018-12-19,"Raptors","","• Serge Ibaka","right knee injury (DTD)","Serge Ibaka","2018-19"
2018-12-26,"Raptors","• Serge Ibaka","","returned to lineup","Serge Ibaka","2018-19"
2021-01-17,"Clippers","","• Serge Ibaka","placed on IL with illness","Serge Ibaka","2020-21"
2021-01-19,"Clippers","• Serge Ibaka","","activated from IL","Serge Ibaka","2020-21"
2021-03-15,"Clippers","","• Serge Ibaka","placed on IL with tightness in lower back","Serge Ibaka","2020-21"
2021-01-07,"76ers","","• Seth Curry","placed on IL with sore left ankle","Seth Curry","2020-21"
2021-01-08,"76ers","","• Seth Curry","placed on IL with COVID-19","Seth Curry","2020-21"
2021-01-19,"76ers","• Seth Curry","","activated from IL","Seth Curry","2020-21"
2021-01-20,"76ers","","• Seth Curry","placed on IL with conditioning","Seth Curry","2020-21"
2021-01-22,"76ers","• Seth Curry","","activated from IL","Seth Curry","2020-21"
2021-02-23,"76ers","","• Seth Curry","placed on IL with sore left ankle","Seth Curry","2020-21"
2021-02-25,"76ers","• Seth Curry","","activated from IL","Seth Curry","2020-21"
2021-03-19,"76ers","","• Seth Curry","placed on IL with sprained left ankle","Seth Curry","2020-21"
2021-03-25,"76ers","• Seth Curry","","activated from IL","Seth Curry","2020-21"
2021-04-16,"76ers","","• Seth Curry","left hip flexor injury (DTD)","Seth Curry","2020-21"
2021-04-19,"76ers","• Seth Curry","","returned to lineup","Seth Curry","2020-21"
2021-04-21,"76ers","","• Seth Curry","left hip flexor injury (DTD)","Seth Curry","2020-21"
2021-04-22,"76ers","• Seth Curry","","returned to lineup","Seth Curry","2020-21"
2021-11-09,"76ers","","• Seth Curry","bruised left foot (DTD)","Seth Curry","2021-22"
2021-11-11,"76ers","• Seth Curry","","returned to lineup","Seth Curry","2021-22"
2021-11-22,"76ers","","• Seth Curry","back injury (DTD)","Seth Curry","2021-22"
2021-11-24,"76ers","• Seth Curry","","returned to lineup","Seth Curry","2021-22"
2021-12-13,"76ers","","• Seth Curry","sore right shoulder (DTD)","Seth Curry","2021-22"
2021-12-15,"76ers","• Seth Curry","","returned to lineup","Seth Curry","2021-22"
2022-01-10,"76ers","","• Seth Curry","placed on IL with sore left ankle","Seth Curry","2021-22"
2022-01-12,"76ers","• Seth Curry","","activated from IL","Seth Curry","2021-22"
2022-01-21,"76ers","","• Seth Curry","placed on IL with sore left ankle","Seth Curry","2021-22"
2022-01-29,"76ers","• Seth Curry","","activated from IL","Seth Curry","2021-22"
2022-02-02,"76ers","","• Seth Curry","back spasms (DTD)","Seth Curry","2021-22"
2022-02-04,"76ers","• Seth Curry","","returned to lineup","Seth Curry","2021-22"
2022-03-13,"Nets","","• Seth Curry","sore left ankle (DTD)","Seth Curry","2021-22"
2022-03-18,"Nets","• Seth Curry","","returned to lineup","Seth Curry","2021-22"
2022-03-23,"Nets","","• Seth Curry","sprained left ankle (DTD)","Seth Curry","2021-22"
2022-03-26,"Nets","• Seth Curry","","returned to lineup","Seth Curry","2021-22"
2022-04-02,"Nets","","• Seth Curry","sore left ankle (DTD)","Seth Curry","2021-22"
2022-04-06,"Nets","• Seth Curry","","returned to lineup","Seth Curry","2021-22"
2022-04-10,"Nets","","• Seth Curry","sore left ankle (DTD)","Seth Curry","2021-22"
2022-04-11,"Nets","• Seth Curry","","returned to lineup","Seth Curry","2021-22"
2020-03-08,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with bruised right hip","Shai Gilgeous-Alexander","2019-20"
2020-03-11,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2019-20"
2021-02-02,"Thunder","","• Shai Gilgeous-Alexander","sprained left knee (DTD)","Shai Gilgeous-Alexander","2020-21"
2021-02-06,"Thunder","• Shai Gilgeous-Alexander","","returned to lineup","Shai Gilgeous-Alexander","2020-21"
2021-02-09,"Thunder","","• Shai Gilgeous-Alexander","sprained left knee (DTD)","Shai Gilgeous-Alexander","2020-21"
2021-02-17,"Thunder","• Shai Gilgeous-Alexander","","returned to lineup","Shai Gilgeous-Alexander","2020-21"
2021-03-12,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with bruised left quadricep","Shai Gilgeous-Alexander","2020-21"
2021-03-14,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2020-21"
2021-03-20,"Thunder","","• Shai Gilgeous-Alexander","sore right shoulder (DTD)","Shai Gilgeous-Alexander","2020-21"
2021-03-22,"Thunder","• Shai Gilgeous-Alexander","","returned to lineup","Shai Gilgeous-Alexander","2020-21"
2021-03-24,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with plantar fasciitis in right foot (out for season)","Shai Gilgeous-Alexander","2020-21"
2021-11-22,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with sprained right ankle","Shai Gilgeous-Alexander","2021-22"
2021-11-26,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2021-22"
2021-12-02,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with concussion","Shai Gilgeous-Alexander","2021-22"
2021-12-06,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2021-22"
2021-12-29,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with sore right ankle","Shai Gilgeous-Alexander","2021-22"
2021-12-31,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2021-22"
2022-01-01,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with NBA health and safety protocols","Shai Gilgeous-Alexander","2021-22"
2022-01-05,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2021-22"
2022-01-29,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with sprained right ankle","Shai Gilgeous-Alexander","2021-22"
2022-02-23,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2021-22"
2022-03-20,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with sore right ankle","Shai Gilgeous-Alexander","2021-22"
2022-03-21,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2021-22"
2022-03-23,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with sore right ankle (out for season)","Shai Gilgeous-Alexander","2021-22"
2022-10-23,"Thunder","","• Shai Gilgeous-Alexander","bruised left hip (DTD)","Shai Gilgeous-Alexander","2022-23"
2022-10-25,"Thunder","• Shai Gilgeous-Alexander","","returned to lineup","Shai Gilgeous-Alexander","2022-23"
2022-11-30,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with bruised left hip","Shai Gilgeous-Alexander","2022-23"
2022-12-03,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2022-23"
2023-02-24,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with sore right ankle","Shai Gilgeous-Alexander","2022-23"
2023-02-28,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2022-23"
2023-02-28,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with NBA health and safety protocols","Shai Gilgeous-Alexander","2022-23"
2023-03-04,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2022-23"
2023-03-12,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with strained abdominal","Shai Gilgeous-Alexander","2022-23"
2023-03-14,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2022-23"
2023-03-28,"Thunder","","• Shai Gilgeous-Alexander","placed on IL with sprained left ankle","Shai Gilgeous-Alexander","2022-23"
2023-03-31,"Thunder","• Shai Gilgeous-Alexander","","activated from IL","Shai Gilgeous-Alexander","2022-23"
2013-11-27,"Heat","","• Shane Battier","placed on IL","Shane Battier","2013-14"
2013-11-29,"Heat","• Shane Battier","","activated from IL","Shane Battier","2013-14"
2014-01-04,"Heat","","• Shane Battier","placed on IL with sore quadriceps","Shane Battier","2013-14"
2014-01-15,"Heat","• Shane Battier","","activated from IL","Shane Battier","2013-14"
2014-02-23,"Nets","","• Shaun Livingston","bruised tailbone (DNP)","Shaun Livingston","2013-14"
2014-04-09,"Nets","","• Shaun Livingston","sprained right big toe (DNP)","Shaun Livingston","2013-14"
2014-04-11,"Nets","","• Shaun Livingston","sprained right big toe (DNP)","Shaun Livingston","2013-14"
2014-04-13,"Nets","","• Shaun Livingston","placed on IL with sprained right big toe","Shaun Livingston","2013-14"
2014-04-15,"Nets","","• Shaun Livingston","sprained right big toe (DNP)","Shaun Livingston","2013-14"
2014-04-16,"Nets","","• Shaun Livingston","sprained right big toe (DNP)","Shaun Livingston","2013-14"
2014-01-08,"Mavericks","","• Shawn Marion","placed on IL with bruised right shoulder","Shawn Marion","2013-14"
2014-01-13,"Mavericks","• Shawn Marion","","activated from IL","Shawn Marion","2013-14"
2014-01-13,"Mavericks","","• Shawn Marion","bruised right shoulder (DNP)","Shawn Marion","2013-14"
2014-01-31,"Mavericks","","• Shawn Marion","placed on IL with bruised right shoulder","Shawn Marion","2013-14"
2014-02-05,"Mavericks","• Shawn Marion","","activated from IL","Shawn Marion","2013-14"
2017-03-05,"Jazz","","• Shelvin Mack","placed on IL with sprained left ankle","Shelvin Mack","2016-17"
2017-03-27,"Jazz","• Shelvin Mack","","activated from IL","Shelvin Mack","2016-17"
2016-10-26,"Kings","","• Skal Labissiere","placed on IL","Skal Labissiere","2016-17"
2016-10-31,"Kings","• Skal Labissiere","","activated from IL","Skal Labissiere","2016-17"
2016-12-14,"Kings","• Skal Labissiere","","activated from IL","Skal Labissiere","2016-17"
2017-01-03,"Kings","","• Skal Labissiere","placed on IL","Skal Labissiere","2016-17"
2017-01-18,"Kings","• Skal Labissiere","","activated from IL","Skal Labissiere","2016-17"
2016-12-16,"Pelicans","","• Solomon Hill","personal reasons (DTD)","Solomon Hill","2016-17"
2016-12-18,"Pelicans","","• Solomon Hill","placed on IL for personal reasons","Solomon Hill","2016-17"
2016-12-20,"Pelicans","• Solomon Hill","","activated from IL","Solomon Hill","2016-17"
2017-11-11,"Nets","","• Spencer Dinwiddie","placed on IL with tightness in right hamstring","Spencer Dinwiddie","2017-18"
2017-11-14,"Nets","• Spencer Dinwiddie","","activated from IL","Spencer Dinwiddie","2017-18"
2018-04-11,"Nets","","• Spencer Dinwiddie","placed on IL with sore right knee (out for season)","Spencer Dinwiddie","2017-18"
2017-11-08,"Pistons","","• Stanley Johnson","placed on IL with left hip flexor injury","Stanley Johnson","2017-18"
2017-11-15,"Pistons","• Stanley Johnson","","activated from IL","Stanley Johnson","2017-18"
2017-12-30,"Pistons","","• Stanley Johnson","strained right hip flexor (DTD)","Stanley Johnson","2017-18"
2018-01-03,"Pistons","","• Stanley Johnson","placed on IL with strained right hip flexor","Stanley Johnson","2017-18"
2018-01-08,"Pistons","• Stanley Johnson","","activated from IL","Stanley Johnson","2017-18"
2018-01-13,"Pistons","","• Stanley Johnson","placed on IL with hip injury","Stanley Johnson","2017-18"
2018-01-19,"Pistons","• Stanley Johnson","","activated from IL","Stanley Johnson","2017-18"
2018-03-07,"Pistons","","• Stanley Johnson","placed on IL with back spasms","Stanley Johnson","2017-18"
2018-03-13,"Pistons","• Stanley Johnson","","activated from IL","Stanley Johnson","2017-18"
2013-11-08,"Warriors","","• Stephen Curry","bruised/sprained left ankle (DNP)","Stephen Curry","2013-14"
2013-11-20,"Warriors","","• Stephen Curry","placed on IL with concussion","Stephen Curry","2013-14"
2013-11-23,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2013-14"
2014-04-16,"Warriors","","• Stephen Curry","rest (DNP)","Stephen Curry","2013-14"
2015-02-22,"Warriors","","• Stephen Curry","sprained right ankle / sore right foot (DTD)","Stephen Curry","2014-15"
2015-02-24,"Warriors","• Stephen Curry","","returned to lineup","Stephen Curry","2014-15"
2015-03-13,"Warriors","","• Stephen Curry","rest (DTD)","Stephen Curry","2014-15"
2015-03-14,"Warriors","• Stephen Curry","","returned to lineup","Stephen Curry","2014-15"
2015-12-30,"Warriors","","• Stephen Curry","bruised lower left leg (DTD)","Stephen Curry","2015-16"
2016-01-02,"Warriors","• Stephen Curry","","returned to lineup","Stephen Curry","2015-16"
2016-03-01,"Warriors","","• Stephen Curry","left ankle injury (DTD)","Stephen Curry","2015-16"
2016-03-03,"Warriors","• Stephen Curry","","returned to lineup","Stephen Curry","2015-16"
2016-04-16,"Warriors","","• Stephen Curry","sprained right ankle (DTD)","Stephen Curry","2015-16"
2016-04-18,"Warriors","","• Stephen Curry","placed on IL with sprained right ankle","Stephen Curry","2015-16"
2016-04-24,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2015-16"
2016-04-25,"Warriors","","• Stephen Curry","sprained MCL in right knee (DTD)","Stephen Curry","2015-16"
2016-04-27,"Warriors","","• Stephen Curry","placed on IL with sprained MCL in right knee","Stephen Curry","2015-16"
2017-01-29,"Warriors","","• Stephen Curry","placed on IL with stomach flu","Stephen Curry","2016-17"
2017-02-01,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2016-17"
2017-03-11,"Warriors","","• Stephen Curry","rest (DTD)","Stephen Curry","2016-17"
2017-03-14,"Warriors","• Stephen Curry","","returned to lineup","Stephen Curry","2016-17"
2017-04-08,"Warriors","","• Stephen Curry","bruised left knee (DTD)","Stephen Curry","2016-17"
2017-04-10,"Warriors","• Stephen Curry","","returned to lineup","Stephen Curry","2016-17"
2017-11-13,"Warriors","","• Stephen Curry","placed on IL with bruised right thigh","Stephen Curry","2017-18"
2017-11-16,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2017-18"
2017-11-27,"Warriors","","• Stephen Curry","placed on IL with bruised right hand","Stephen Curry","2017-18"
2017-11-29,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2017-18"
2017-12-05,"Warriors","","• Stephen Curry","sprained right ankle (DTD)","Stephen Curry","2017-18"
2017-12-06,"Warriors","","• Stephen Curry","placed on IL with sprained right ankle","Stephen Curry","2017-18"
2017-12-30,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2017-18"
2018-01-10,"Warriors","","• Stephen Curry","sprained right ankle (DTD)","Stephen Curry","2017-18"
2018-01-13,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2017-18"
2018-03-09,"Warriors","","• Stephen Curry","placed on IL with sprained right ankle","Stephen Curry","2017-18"
2018-03-23,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2017-18"
2018-03-24,"Warriors","","• Stephen Curry","sprained MCL in left knee (out indefinitely)","Stephen Curry","2017-18"
2018-03-25,"Warriors","","• Stephen Curry","placed on IL with sprained MCL in left knee","Stephen Curry","2017-18"
2018-11-09,"Warriors","","• Stephen Curry","strained left groin (out indefinitely)","Stephen Curry","2018-19"
2018-11-10,"Warriors","","• Stephen Curry","placed on IL with strained left groin","Stephen Curry","2018-19"
2018-12-01,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2018-19"
2019-03-23,"Warriors","","• Stephen Curry","placed on IL","Stephen Curry","2018-19"
2019-03-24,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2018-19"
2019-04-10,"Warriors","","• Stephen Curry","placed on IL with sprained right ankle","Stephen Curry","2018-19"
2019-04-12,"Warriors","• Stephen Curry","","activated from IL","Stephen Curry","2018-19"
