"Date","MP","Rolling_Avg_MP","Season","Player","Team","Position","Age","MPG","G","Travel","Distance","Injury_Indicator","Injury_Severity","Injury_Notes","PG","SG","SF","PF","C","Is_2019_20","Is_2020_21","Is_2021_22","treatment","distance_average","Is_3rd_Game_in_4_Days","Is_4th_Game_in_5_Days","Is_5th_Game_in_7_Days","Season_Phase","Early_Treatment","Mid_Treatment","Late_Treatment","Total_Early_Treatment","Total_Mid_Treatment","Total_Late_Treatment","Rows_In_Phase","Total_Games","Frequency_Early","Frequency_Mid","Frequency_Late","Total_Treatment_Frequency"
2023-01-02,33.2833333333333,37.1566666666667,"2022-23","Nikola Jokic","Denver Nuggets","C",27,33.7,69,1,692,0,0,"",0,0,0,0,1,0,0,0,0,346,1,0,1,"Mid",0,0,0,0,0,0,6,10,0,0.333333333333333,0,0.2
2018-11-05,26.95,29,"2018-19","Nikola Vucevic","Orlando Magic","C",28,31.4,80,1,1038,0,0,"",0,0,0,0,1,0,0,0,0,1038,1,0,0,"Early",0,0,0,0,0,0,6,14,0,0,0,0
2021-10-30,25.85,27.6958333333333,"2021-22","P.J. Tucker","Miami Heat","PF",36,27.9,71,1,869,0,0,"",0,0,0,1,0,0,0,1,0,980,1,0,0,"Early",0,0,0,0,0,0,5,13,0,0.333333333333333,0.4,0.230769230769231
2023-04-05,28.05,24.9766666666667,"2022-23","Patrick Beverley","Chicago Bulls","PG",34,27.1,67,1,86,0,0,"",1,0,0,0,0,0,0,0,0,43,1,0,0,"Late",0,0,0,1,2,0,4,10,1,0.4,0,0.3
2019-12-14,30.7166666666667,30.9433333333333,"2019-20","Paul George","Los Angeles Clippers","SG",29,29.6,48,1,354,0,0,"",0,1,0,0,0,1,0,0,0,523,1,0,1,"Mid",0,0,0,0,0,0,4,6,0,0.25,0,0.166666666666667
2019-12-21,0,33.2466666666667,"2019-20","Ricky Rubio","Phoenix Suns","PG",29,31,65,0,0,0,0,"",1,0,0,0,0,1,0,0,1,1188,0,0,0,"Mid",0,1,0,2,1,0,3,10,0.666666666666667,0.333333333333333,0.25,0.4
2021-12-15,22.5666666666667,29.99,"2021-22","Robert Covington","Los Angeles Clippers","SF",31,27.3,71,0,0,0,0,"",0,0,1,0,0,0,0,1,0,0,1,0,0,"Mid",0,0,0,0,0,0,4,13,0,0.25,0,0.0769230769230769
2019-11-12,37.55,35.4666666666667,"2019-20","Rudy Gobert","Utah Jazz","C",27,34.3,68,1,600,0,0,"",0,0,0,0,1,1,0,0,0,600,0,0,0,"Early",0,0,0,0,0,0,3,7,0,-Inf,0,0
2019-02-23,35.3166666666667,36.6666666666667,"2018-19","Russell Westbrook","Oklahoma City Thunder","PG",30,36,73,0,0,0,0,"",1,0,0,0,0,0,0,0,0,288.5,0,0,0,"Late",0,0,0,0,0,0,5,11,0,0,0,0
2018-10-22,29.6666666666667,36.8666666666667,"2018-19","Stephen Curry","Golden State Warriors","PG",30,33.8,69,1,956,0,0,"",1,0,0,0,0,0,0,0,0,667.5,1,0,0,"Early",0,0,0,0,0,0,2,10,0,0,0.333333333333333,0.2
2021-01-30,23.6333333333333,28.4333333333333,"2020-21","Steven Adams","New Orleans Pelicans","C",27,27.7,58,0,0,1,4,"placed on IL with left calf injury",0,0,0,0,1,0,1,0,0,0,1,0,0,"Early",0,0,0,0,0,0,3,11,0,0.166666666666667,0,0.0909090909090909
2018-11-03,29.4,32.5733333333333,"2018-19","Thaddeus Young","Indiana Pacers","PF",30,30.7,81,1,163,0,0,"",0,0,0,1,0,0,0,0,0,440.5,1,0,0,"Early",0,0,0,0,0,0,5,14,0,0,0,0
