"Player","Season","Frequency_Early","Frequency_Mid","Frequency_Late","Total_Treatment_Frequency","Early_Quantile","Mid_Quantile","Late_Quantile","Total_Quantile","Injury_Frequency","Games_Missed_Frequency"
"Wendell Carter Jr.","2018-19",0,0,-Inf,0,"Q1","Q1",NA,"Q1",0.0227272727272727,0.451219512195122
"Wendell Carter Jr.","2019-20",0,0,-Inf,0,"Q1","Q1",NA,"Q1",0.0232558139534884,0.338461538461538
"Wendell Carter Jr.","2020-21",0,0,0,0,"Q1","Q1","Q1","Q1",0.0925925925925926,0.225352112676056
"Wendell Carter Jr.","2021-22",0,0,0,0,"Q1","Q1","Q1","Q1",0.0967741935483871,0.231707317073171
"Wendell Carter Jr.","2022-23",0,0,0,0,"Q1","Q1","Q1","Q1",0.0526315789473684,0.0731707317073171
"Wesley Johnson","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Wesley Johnson","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Wesley Johnson","2017-18",0,0,0.2,0.0833333333333333,"Q1","Q1","Q2","Q2",0,0
"Wesley Matthews","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Wesley Matthews","2015-16",0.333333333333333,0.25,0,0.235294117647059,"Q3","Q2","Q1","Q3",0,0
"Wesley Matthews","2016-17",0.25,0,0,0.0833333333333333,"Q2","Q1","Q1","Q2",0,0
"Wesley Matthews","2017-18",0,0,0.5,0.0909090909090909,"Q1","Q1","Q3","Q2",0,0
"Wesley Matthews","2019-20",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Wesley Matthews","2021-22",0,0.333333333333333,0.333333333333333,0.25,"Q1","Q3","Q3","Q3",0,0
"Will Barton","2018-19",-Inf,0,0,0,NA,"Q1","Q1","Q1",0.0465116279069767,0.475609756097561
"Will Barton","2019-20",0,0,0,0,"Q1","Q1","Q1","Q1",0.0689655172413793,0.107692307692308
"Will Barton","2020-21",0,0,0,0,"Q1","Q1","Q1","Q1",0.0357142857142857,0.208333333333333
"Will Barton","2021-22",0,0.25,0,0.1,"Q1","Q2","Q1","Q2",0.0845070422535211,0.109756097560976
"Willie Cauley-Stein","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0.0454545454545455,0.195121951219512
"Willie Cauley-Stein","2016-17",0.333333333333333,0,0,0.105263157894737,"Q3","Q1","Q1","Q2",0,0
"Willie Cauley-Stein","2017-18",0,0,0,0,"Q1","Q1","Q1","Q1",0.0410958904109589,0.109756097560976
"Willie Cauley-Stein","2018-19",0,0,0.25,0.0714285714285714,"Q1","Q1","Q2","Q2",0,0
"Willy Hernangomez","2016-17",0,0.4,0,0.153846153846154,"Q1","Q3","Q1","Q3",0,0
"Wilson Chandler","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0.0645161290322581,0.170731707317073
"Wilson Chandler","2014-15",0,0,0.142857142857143,0.05,"Q1","Q1","Q2","Q2",0.0256410256410256,0.0365853658536585
"Wilson Chandler","2016-17",0,0,0.2,0.0588235294117647,"Q1","Q1","Q2","Q2",0.0704225352112676,0.121951219512195
"Wilson Chandler","2017-18",0.333333333333333,0,0,0.0769230769230769,"Q3","Q1","Q1","Q2",0.0540540540540541,0.0853658536585366
"Xavier Tillman, Sr.","2022-23",0,0,0.25,0.0909090909090909,"Q1","Q1","Q2","Q2",0,0
"Yogi Ferrell","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0.0217391304347826,0.06
"Zach LaVine","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0.012987012987013,0.024390243902439
"Zach LaVine","2018-19",0.166666666666667,0.5,0,0.166666666666667,"Q2","Q3","Q1","Q3",0.0476190476190476,0.195121951219512
"Zach LaVine","2019-20",0,0,0,0,"Q1","Q1","Q1","Q1",0.0166666666666667,0.0769230769230769
"Zach LaVine","2020-21",0,0,0,0,"Q1","Q1","Q1","Q1",0.0517241379310345,0.180555555555556
"Zach LaVine","2021-22",0,0,0.25,0.0909090909090909,"Q1","Q1","Q2","Q2",0.0895522388059701,0.158536585365854
"Zach LaVine","2022-23",0.333333333333333,0,0,0.0769230769230769,"Q3","Q1","Q1","Q2",0,0
"Zach Randolph","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0.0253164556962025,0.0365853658536585
"Zach Randolph","2014-15",0,0,0.2,0.117647058823529,"Q1","Q1","Q2","Q2",0.0140845070422535,0.109756097560976
"Zach Randolph","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0.0441176470588235,0.170731707317073
"Zach Randolph","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Zach Randolph","2017-18",0,0,0.75,0.230769230769231,"Q1","Q1","Q3","Q3",0.0677966101694915,0.158536585365854
"Zaza Pachulia","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Zaza Pachulia","2015-16",0,0.285714285714286,0,0.125,"Q1","Q3","Q1","Q3",0,0
"Zaza Pachulia","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Zion Williamson","2020-21",0,0.2,0,0.0833333333333333,"Q1","Q2","Q1","Q2",0.0491803278688525,0.125
