"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	4	393	1017.8 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	7	384	1822.9 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	8	392	2040.8 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	5	401	1246.9 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	3	403	744.4 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	10	404	2475.2 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	6	399	1503.8 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	5	407	1228.5 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	7	411	1703.2 (Unreliable)
	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	7	413	1694.9 (Unreliable)
"Total"	"Alleghany County, NC"	"37005"	"White"	"2106-3"	"Male"	"M"			62	4007	1547.3
"Total"	"Alleghany County, NC"	"37005"	"White"	"2106-3"					96	8839	1086.1
"Total"	"Alleghany County, NC"	"37005"							97	9017	1075.7
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	6	448	1339.3 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	5	455	1098.9 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	3	464	646.6 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	1	471	212.3 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	10	476	2100.8 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	4	476	840.3 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	8	478	1673.6 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	1	481	207.9 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	8	482	1659.8 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	7	485	1443.3 (Unreliable)
"Total"	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Female"	"F"			53	4716	1123.8
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	8	296	2702.7 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	2	297	673.4 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	4	294	1360.5 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	4	294	1360.5 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	4	294	1360.5 (Unreliable)
	"Anson County, NC"	"37007"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	6	289	2076.1 (Unreliable)
